File,Line_number,SRC
contrib/views/wfmanager/src/main/java/org/apache/oozie/ambari/view/OozieProxyImpersonator.java,157,return Response.ok(viewContext.getUsername()).build();
contrib/views/hive-next/src/main/java/org/apache/ambari/view/hive2/actor/JdbcConnector.java,326,statementExecutor = getStatementExecutor();
contrib/views/hive-next/src/main/java/org/apache/ambari/view/hive2/actor/JdbcConnector.java,381,statementExecutor = getStatementExecutor();
contrib/views/hive-next/src/main/java/org/apache/ambari/view/hive2/actor/JdbcConnector.java,385,private ActorRef getStatementExecutor() {
contrib/views/hive-next/src/main/java/org/apache/ambari/view/hive2/actor/LogAggregator.java,47,private final Logger LOG = LoggerFactory.getLogger(getClass());
contrib/views/hive-next/src/main/java/org/apache/ambari/view/hive2/actor/LogAggregator.java,56,private boolean hasStartedFetching = false;
contrib/views/hive-next/src/main/java/org/apache/ambari/view/hive2/actor/LogAggregator.java,57,private boolean shouldFetchMore = true;
contrib/views/hive-next/src/main/java/org/apache/ambari/view/hive2/actor/LogAggregator.java,73,try {
contrib/views/hive-next/src/main/java/org/apache/ambari/view/hive2/actor/LogAggregator.java,74,getMoreLogs();
contrib/views/hive-next/src/main/java/org/apache/ambari/view/hive2/actor/LogAggregator.java,76,LOG.error("SQL Error while getting logs. Tried writing to: {}. Exception: {}", logFile, e);
contrib/views/hive-next/src/main/java/org/apache/ambari/view/hive2/actor/LogAggregator.java,78,LOG.warn("HDFS Error while getting writing logs to {}. Exception: {}", logFile, e);
contrib/views/hive-next/src/main/java/org/apache/ambari/view/hive2/actor/LogAggregator.java,86,hasStartedFetching = false;
contrib/views/hive-next/src/main/java/org/apache/ambari/view/hive2/actor/LogAggregator.java,87,shouldFetchMore = true;
contrib/views/hive-next/src/main/java/org/apache/ambari/view/hive2/actor/LogAggregator.java,92,if (!(moreLogsScheduler == null || moreLogsScheduler.isCancelled())) {
contrib/views/hive-next/src/main/java/org/apache/ambari/view/hive2/actor/LogAggregator.java,93,moreLogsScheduler.cancel();
contrib/views/hive-next/src/main/java/org/apache/ambari/view/hive2/actor/LogAggregator.java,96,Duration.Zero(), Duration.create(AGGREGATION_INTERVAL, TimeUnit.MILLISECONDS),
contrib/views/hive-next/src/main/java/org/apache/ambari/view/hive2/actor/LogAggregator.java,97,this.getSelf(), new GetMoreLogs(), getContext().dispatcher(), null);
contrib/views/hive-next/src/main/java/org/apache/ambari/view/hive2/actor/LogAggregator.java,100,private void getMoreLogs() throws SQLException, HdfsApiException {
contrib/views/hive-next/src/main/java/org/apache/ambari/view/hive2/actor/LogAggregator.java,101,List<String> logs = statement.getQueryLog();
contrib/views/hive-next/src/main/java/org/apache/ambari/view/hive2/actor/LogAggregator.java,102,if (logs.size() > 0 && shouldFetchMore) {
contrib/views/hive-next/src/main/java/org/apache/ambari/view/hive2/actor/LogAggregator.java,103,allLogs = allLogs + "\n" + Joiner.on("\n").skipNulls().join(logs);
contrib/views/hive-next/src/main/java/org/apache/ambari/view/hive2/actor/LogAggregator.java,104,HdfsUtil.putStringToFile(hdfsApi, logFile, allLogs);
contrib/views/hive-next/src/main/java/org/apache/ambari/view/hive2/actor/LogAggregator.java,105,if(!statement.hasMoreLogs()) {
contrib/views/hive-next/src/main/java/org/apache/ambari/view/hive2/actor/LogAggregator.java,106,shouldFetchMore = false;
contrib/views/hive-next/src/main/java/org/apache/ambari/view/hive2/actor/LogAggregator.java,110,if(!shouldFetchMore) {
contrib/views/hive-next/src/main/java/org/apache/ambari/view/hive2/actor/LogAggregator.java,111,moreLogsScheduler.cancel();
contrib/views/hive-next/src/main/java/org/apache/ambari/view/hive2/actor/LogAggregator.java,112,parent.tell(new LogAggregationFinished(), ActorRef.noSender());
contrib/views/hive-next/src/main/java/org/apache/ambari/view/hive2/actor/StatementExecutor.java,129,private void stopLogAggregation() {
contrib/views/hive-next/src/main/java/org/apache/ambari/view/hive2/actor/StatementExecutor.java,130,if (logAggregator != null) {
contrib/views/hive-next/src/main/java/org/apache/ambari/view/hive2/actor/StatementExecutor.java,131,getContext().stop(logAggregator);
contrib/views/hive-next/src/main/java/org/apache/ambari/view/hive2/actor/StatementExecutor.java,133,logAggregator = null;
contrib/views/hive-next/src/main/java/org/apache/ambari/view/hive2/actor/StatementExecutor.java,138,stopLogAggregation();
contrib/views/hive20/src/main/java/org/apache/ambari/view/hive20/actor/JdbcConnector.java,357,statementExecutor = getStatementExecutor();
contrib/views/hive20/src/main/java/org/apache/ambari/view/hive20/actor/JdbcConnector.java,412,statementExecutor = getStatementExecutor();
contrib/views/hive20/src/main/java/org/apache/ambari/view/hive20/actor/JdbcConnector.java,422,statementExecutor = getStatementExecutor();
contrib/views/hive20/src/main/java/org/apache/ambari/view/hive20/actor/JdbcConnector.java,426,private ActorRef getStatementExecutor() {
contrib/views/hive20/src/main/java/org/apache/ambari/view/hive20/actor/JdbcConnector.java,428,.withDispatcher("akka.actor.result-dispatcher"),
contrib/views/hive20/src/main/java/org/apache/ambari/view/hive20/actor/LogAggregator.java,26,import org.apache.ambari.view.hive20.actor.message.LogAggregationFinished;
contrib/views/hive20/src/main/java/org/apache/ambari/view/hive20/actor/LogAggregator.java,29,import org.apache.ambari.view.utils.hdfs.HdfsApiException;
contrib/views/hive20/src/main/java/org/apache/ambari/view/hive20/actor/LogAggregator.java,33,import org.slf4j.Logger;
contrib/views/hive20/src/main/java/org/apache/ambari/view/hive20/actor/LogAggregator.java,34,import org.slf4j.LoggerFactory;
contrib/views/hive20/src/main/java/org/apache/ambari/view/hive20/actor/LogAggregator.java,37,import java.sql.SQLException;
contrib/views/hive20/src/main/java/org/apache/ambari/view/hive20/actor/LogAggregator.java,46,private final Logger LOG = LoggerFactory.getLogger(getClass());
contrib/views/hive20/src/main/java/org/apache/ambari/view/hive20/actor/LogAggregator.java,55,private boolean hasStartedFetching = false;
contrib/views/hive20/src/main/java/org/apache/ambari/view/hive20/actor/LogAggregator.java,56,private boolean shouldFetchMore = true;
contrib/views/hive20/src/main/java/org/apache/ambari/view/hive20/actor/LogAggregator.java,72,try {
contrib/views/hive20/src/main/java/org/apache/ambari/view/hive20/actor/LogAggregator.java,73,getMoreLogs();
contrib/views/hive20/src/main/java/org/apache/ambari/view/hive20/actor/LogAggregator.java,75,LOG.warn("SQL Error while getting logs. Tried writing to: {}. Exception: {}", logFile, e.getMessage());
contrib/views/hive20/src/main/java/org/apache/ambari/view/hive20/actor/LogAggregator.java,77,LOG.warn("HDFS Error while writing logs to {}. Exception: {}", logFile, e.getMessage());
contrib/views/hive20/src/main/java/org/apache/ambari/view/hive20/actor/LogAggregator.java,86,hasStartedFetching = false;
contrib/views/hive20/src/main/java/org/apache/ambari/view/hive20/actor/LogAggregator.java,87,shouldFetchMore = true;
contrib/views/hive20/src/main/java/org/apache/ambari/view/hive20/actor/LogAggregator.java,92,if (!(moreLogsScheduler == null || moreLogsScheduler.isCancelled())) {
contrib/views/hive20/src/main/java/org/apache/ambari/view/hive20/actor/LogAggregator.java,93,moreLogsScheduler.cancel();
contrib/views/hive20/src/main/java/org/apache/ambari/view/hive20/actor/LogAggregator.java,96,Duration.Zero(), Duration.create(AGGREGATION_INTERVAL, TimeUnit.MILLISECONDS),
contrib/views/hive20/src/main/java/org/apache/ambari/view/hive20/actor/LogAggregator.java,97,this.getSelf(), new GetMoreLogs(), getContext().dispatcher(), null);
contrib/views/hive20/src/main/java/org/apache/ambari/view/hive20/actor/LogAggregator.java,100,private void getMoreLogs() throws SQLException, HdfsApiException {
contrib/views/hive20/src/main/java/org/apache/ambari/view/hive20/actor/LogAggregator.java,101,List<String> logs = statement.getQueryLog();
contrib/views/hive20/src/main/java/org/apache/ambari/view/hive20/actor/LogAggregator.java,102,if (logs.size() > 0 && shouldFetchMore) {
