File,Line_number,SRC
bookkeeper-server/src/main/java/org/apache/bookkeeper/net/ScriptBasedMapping.java,166,for (int i = 0; i < names.size(); i++) {
bookkeeper-server/src/main/java/org/apache/bookkeeper/net/ScriptBasedMapping.java,167,m.add(NetworkTopology.DEFAULT_RACK);
bookkeeper-server/src/main/java/org/apache/bookkeeper/net/ScriptBasedMapping.java,169,return m;
bookkeeper-server/src/main/java/org/apache/bookkeeper/util/Main.java,32,System.err.println("USAGE: bookeeper client|bookie");
bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/EntryLogger.java,715,for (BufferedLogChannel channel : channels) {
bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/EntryLogger.java,716,channel.flush(true);
bookkeeper-server/src/main/java/org/apache/bookkeeper/tools/BookKeeperTools.java,69,if (args.length < 3) {
bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/Bookie.java,53,import org.apache.bookkeeper.jmx.BKMBeanInfo;
bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/Bookie.java,54,import org.apache.bookkeeper.jmx.BKMBeanRegistry;
bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/Bookie.java,86,import com.google.common.annotations.VisibleForTesting;
bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/Bookie.java,140,BookieBean jmxBookieBean;
bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/Bookie.java,141,BKMBeanInfo jmxLedgerStorageBean;
bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/Bookie.java,703,public void registerJMX(BKMBeanInfo parent) {
bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/Bookie.java,704,try {
bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/Bookie.java,705,jmxBookieBean = new BookieBean(this);
bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/Bookie.java,706,BKMBeanRegistry.getInstance().register(jmxBookieBean, parent);
bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/Bookie.java,708,try {
bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/Bookie.java,709,jmxLedgerStorageBean = this.ledgerStorage.getJMXBean();
bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/Bookie.java,710,if (jmxLedgerStorageBean != null) {
bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/Bookie.java,711,BKMBeanRegistry.getInstance().register(jmxLedgerStorageBean, jmxBookieBean);
bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/Bookie.java,714,LOG.warn("Failed to register with JMX for ledger cache", e);
bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/Bookie.java,715,jmxLedgerStorageBean = null;
bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/Bookie.java,718,LOG.warn("Failed to register with JMX", e);
bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/Bookie.java,719,jmxBookieBean = null;
bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/Bookie.java,726,public void unregisterJMX() {
bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/Bookie.java,727,try {
bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/Bookie.java,728,if (jmxLedgerStorageBean != null) {
bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/Bookie.java,729,BKMBeanRegistry.getInstance().unregister(jmxLedgerStorageBean);
