File,Line_number,SRC
flink-state-backends/flink-statebackend-rocksdb/src/main/java/org/apache/flink/contrib/streaming/state/RocksDBKeyedStateBackend.java,1980,if (directory.exists()) {
flink-state-backends/flink-statebackend-rocksdb/src/main/java/org/apache/flink/contrib/streaming/state/RocksDBKeyedStateBackend.java,1981,FileUtils.deleteDirectory(directory);
flink-state-backends/flink-statebackend-rocksdb/src/main/java/org/apache/flink/contrib/streaming/state/RocksDBKeyedStateBackend.java,1984,if (!directory.mkdirs()) {
flink-state-backends/flink-statebackend-rocksdb/src/main/java/org/apache/flink/contrib/streaming/state/RocksDBKeyedStateBackend.java,1990,File rdbSnapshotDir = new File(directory, "rocks_db");
flink-libraries/flink-sql-client/src/main/java/org/apache/flink/table/client/SqlClient.java,114,final CliClient cli = new CliClient(context, executor);
flink-libraries/flink-sql-client/src/main/java/org/apache/flink/table/client/SqlClient.java,116,if (options.getUpdateStatement() == null) {
flink-libraries/flink-sql-client/src/main/java/org/apache/flink/table/client/SqlClient.java,117,cli.open();
flink-libraries/flink-sql-client/src/main/java/org/apache/flink/table/client/SqlClient.java,120,else {
flink-libraries/flink-sql-client/src/main/java/org/apache/flink/table/client/SqlClient.java,121,final boolean success = cli.submitUpdate(options.getUpdateStatement());
flink-libraries/flink-sql-client/src/main/java/org/apache/flink/table/client/SqlClient.java,122,if (!success) {
flink-libraries/flink-sql-client/src/main/java/org/apache/flink/table/client/SqlClient.java,123,throw new SqlClientException("Could not submit given SQL update statement to cluster.");
flink-libraries/flink-sql-client/src/main/java/org/apache/flink/table/client/cli/CliChangelogResultView.java,119,stopRetrieval();
flink-libraries/flink-sql-client/src/main/java/org/apache/flink/table/client/cli/CliClient.java,80,public CliClient(SessionContext context, Executor executor) {
flink-libraries/flink-sql-client/src/main/java/org/apache/flink/table/client/cli/CliClient.java,84,try {
flink-libraries/flink-sql-client/src/main/java/org/apache/flink/table/client/cli/CliClient.java,88,.build();
flink-libraries/flink-sql-client/src/main/java/org/apache/flink/table/client/cli/CliClient.java,90,terminal.writer().println();
flink-libraries/flink-sql-client/src/main/java/org/apache/flink/table/client/cli/CliClient.java,91,terminal.writer().flush();
flink-libraries/flink-sql-client/src/main/java/org/apache/flink/table/client/cli/CliClient.java,93,throw new SqlClientException("Error opening command line interface.", e);
flink-libraries/flink-sql-client/src/main/java/org/apache/flink/table/client/cli/CliResultView.java,154,protected void stopRetrieval() {
flink-libraries/flink-sql-client/src/main/java/org/apache/flink/table/client/cli/CliResultView.java,220,stopRetrieval();
flink-libraries/flink-sql-client/src/main/java/org/apache/flink/table/client/cli/CliResultView.java,282,try {
flink-libraries/flink-sql-client/src/main/java/org/apache/flink/table/client/cli/CliResultView.java,285,client.getExecutor().cancelQuery(client.getContext(), resultDescriptor.getResultId());
flink-libraries/flink-sql-client/src/main/java/org/apache/flink/table/client/cli/CliTableResultView.java,99,stopRetrieval();
flink-docs/src/main/java/org/apache/flink/docs/configuration/ConfigOptionsDocGenerator.java,328,currentNode = currentNode.findChild(keyComponent);
flink-docs/src/main/java/org/apache/flink/docs/configuration/ConfigOptionsDocGenerator.java,330,return currentNode.isGroupRoot() ? currentNode : root;
flink-docs/src/main/java/org/apache/flink/docs/configuration/ConfigOptionsDocGenerator.java,347,private Node findChild(String keyComponent) {
flink-docs/src/main/java/org/apache/flink/docs/configuration/ConfigOptionsDocGenerator.java,348,Node child = children.get(keyComponent);
flink-docs/src/main/java/org/apache/flink/docs/configuration/ConfigOptionsDocGenerator.java,349,if (child == null) {
flink-docs/src/main/java/org/apache/flink/docs/configuration/ConfigOptionsDocGenerator.java,350,return this;
flink-docs/src/main/java/org/apache/flink/docs/configuration/ConfigOptionsDocGenerator.java,352,return child;
flink-filesystems/flink-hadoop-fs/src/main/java/org/apache/flink/runtime/fs/hdfs/HadoopRecoverableFsDataOutputStream.java,90,try {
flink-filesystems/flink-hadoop-fs/src/main/java/org/apache/flink/runtime/fs/hdfs/HadoopRecoverableFsDataOutputStream.java,93,throw new IOException("Missing data in tmp file: " + tempFile, e);
flink-filesystems/flink-hadoop-fs/src/main/java/org/apache/flink/runtime/fs/hdfs/HadoopRecoverableFsDataOutputStream.java,263,try {
flink-filesystems/flink-hadoop-fs/src/main/java/org/apache/flink/runtime/fs/hdfs/HadoopRecoverableFsDataOutputStream.java,264,truncate(fs, src, expectedLength);
flink-filesystems/flink-hadoop-fs/src/main/java/org/apache/flink/runtime/fs/hdfs/HadoopRecoverableFsDataOutputStream.java,267,throw new IOException("Problem while truncating file: " + src, e);
flink-filesystems/flink-hadoop-fs/src/main/java/org/apache/flink/runtime/fs/hdfs/HadoopRecoverableFsDataOutputStream.java,307,private boolean waitUntilLeaseIsRevoked(final Path path) throws IOException {
flink-filesystems/flink-hadoop-fs/src/main/java/org/apache/flink/runtime/fs/hdfs/HadoopRecoverableFsDataOutputStream.java,91,truncate(fs, tempFile, recoverable.offset());
flink-filesystems/flink-hadoop-fs/src/main/java/org/apache/flink/runtime/fs/hdfs/HadoopRecoverableFsDataOutputStream.java,96,waitUntilLeaseIsRevoked(tempFile);
flink-filesystems/flink-hadoop-fs/src/main/java/org/apache/flink/runtime/fs/hdfs/HadoopRecoverableFsDataOutputStream.java,176,static void truncate(FileSystem hadoopFs, Path file, long length) throws IOException {
flink-filesystems/flink-hadoop-fs/src/main/java/org/apache/flink/runtime/fs/hdfs/HadoopRecoverableFsDataOutputStream.java,179,truncateHandle.invoke(hadoopFs, file, length);
flink-runtime/src/main/java/org/apache/flink/runtime/deployment/TaskDeploymentDescriptor.java,211,if (serializedJobInformation instanceof NonOffloaded) {
flink-runtime/src/main/java/org/apache/flink/runtime/deployment/TaskDeploymentDescriptor.java,212,NonOffloaded<TaskInformation> jobInformation =
flink-runtime/src/main/java/org/apache/flink/runtime/deployment/TaskDeploymentDescriptor.java,214,return jobInformation.serializedValue;
flink-connectors/flink-connector-kafka-base/src/main/java/org/apache/flink/streaming/connectors/kafka/FlinkKafkaConsumerBase.java,473,List<KafkaTopicPartition> allPartitions = partitionDiscoverer.discoverPartitions();
flink-connectors/flink-connector-kafka-base/src/main/java/org/apache/flink/streaming/connectors/kafka/FlinkKafkaConsumerBase.java,488,== getRuntimeContext().getIndexOfThisSubtask()){
flink-connectors/flink-connector-kafka-base/src/main/java/org/apache/flink/streaming/connectors/kafka/FlinkKafkaConsumerBase.java,536,: fetchOffsetsWithTimestamp(allPartitions, startupOffsetsTimestamp).entrySet()) {
flink-connectors/flink-connector-kafka-base/src/main/java/org/apache/flink/streaming/connectors/kafka/FlinkKafkaConsumerBase.java,542,? KafkaTopicPartitionStateSentinel.LATEST_OFFSET
