File,Line_number,SRC
src/main/org/codehaus/groovy/classgen/AsmClassGenerator.java,2111,processClassVariable(variableName);
src/main/org/codehaus/groovy/ast/ClassHelper.java,94,Object.class, Boolean.TYPE, Character.TYPE, Byte.TYPE, Short.TYPE,
src/main/org/codehaus/groovy/ast/ClassHelper.java,95,Integer.TYPE, Long.TYPE, Double.TYPE, Float.TYPE, Void.TYPE,
src/main/org/codehaus/groovy/ast/ClassHelper.java,96,Closure.class, GString.class, List.class, Map.class, Range.class,
src/main/org/codehaus/groovy/ast/ClassHelper.java,97,Pattern.class, Script.class, String.class,  Boolean.class,
src/main/org/codehaus/groovy/ast/ClassHelper.java,98,Character.class, Byte.class, Short.class, Integer.class, Long.class,
src/main/org/codehaus/groovy/ast/ClassHelper.java,103,public static final ClassNode
src/main/org/codehaus/groovy/ast/ClassHelper.java,127,OBJECT_TYPE,
src/main/org/codehaus/groovy/ast/ClassHelper.java,128,boolean_TYPE, char_TYPE, byte_TYPE, short_TYPE,
src/main/org/codehaus/groovy/ast/ClassHelper.java,129,int_TYPE, long_TYPE, double_TYPE, float_TYPE,
src/main/org/codehaus/groovy/ast/ClassHelper.java,130,VOID_TYPE, CLOSURE_TYPE, GSTRING_TYPE,
src/main/org/codehaus/groovy/ast/ClassHelper.java,131,LIST_TYPE, MAP_TYPE, RANGE_TYPE, PATTERN_TYPE,
src/main/org/codehaus/groovy/ast/ClassHelper.java,132,SCRIPT_TYPE, STRING_TYPE, Boolean_TYPE, Character_TYPE,
src/main/org/codehaus/groovy/ast/ClassHelper.java,133,Byte_TYPE, Short_TYPE, Integer_TYPE, Long_TYPE,
src/main/org/codehaus/groovy/ast/ClassHelper.java,177,for (int i=0; i<classes.length; i++) {
src/main/org/codehaus/groovy/ast/ClassHelper.java,178,if (c==classes[i]) return types[i];
src/main/org/codehaus/groovy/ast/ClassHelper.java,198,public static ClassNode makeWithoutCaching(String name) {
src/main/org/codehaus/groovy/ast/ClassHelper.java,199,ClassNode cn = new ClassNode(name,Opcodes.ACC_PUBLIC,OBJECT_TYPE);
src/main/org/codehaus/groovy/ast/ClassHelper.java,215,for (int i=0; i<classes.length; i++) {
src/main/org/codehaus/groovy/ast/ClassHelper.java,242,if (cn==boolean_TYPE) {
src/main/org/codehaus/groovy/ast/ClassHelper.java,277,return  cn == boolean_TYPE ||
src/main/org/codehaus/groovy/classgen/ClassCompletionVerifier.java,127,msg.append("You are not allowed to overwrite the final ");
src/main/org/codehaus/groovy/classgen/ClassCompletionVerifier.java,128,msg.append(getDescription(superCN));
src/main/org/codehaus/groovy/classgen/ClassCompletionVerifier.java,129,msg.append(".");
src/main/org/codehaus/groovy/classgen/ClassCompletionVerifier.java,130,addError(msg.toString(), cn);
src/main/org/codehaus/groovy/classgen/Verifier.java,461,for (Iterator iter = methods.iterator(); iter.hasNext();) {
src/main/org/codehaus/groovy/classgen/Verifier.java,462,MethodNode method = (MethodNode) iter.next();
src/main/org/codehaus/groovy/ast/ClassNode.java,847,&& method.getParameters().length == 0) {
src/main/org/codehaus/groovy/runtime/typehandling/DefaultTypeTransformation.java,453,if (left instanceof Comparable) {
src/main/groovy/util/NodeBuilder.java,48,import java.util.ArrayList;
src/main/groovy/util/NodeBuilder.java,68,return new Node(getCurrentNode(), name, new ArrayList());
src/main/groovy/util/NodeBuilder.java,76,return new Node(getCurrentNode(), name, attributes, new ArrayList());
src/main/groovy/lang/ObjectRange.java,229,size = toNum - fromNum + 1;
src/main/groovy/lang/ObjectRange.java,236,size = sizeNum.intValue();
src/main/groovy/lang/ObjectRange.java,104,if (from instanceof String || to instanceof String) {
src/main/groovy/lang/ObjectRange.java,109,if (start.length() > end.length()) {
src/main/groovy/lang/ObjectRange.java,110,throw new IllegalArgumentException("Incompatible Strings for Range: starting String is longer than ending string");
src/main/groovy/lang/ObjectRange.java,112,int length = Math.min(start.length(), end.length());
src/main/org/codehaus/groovy/ast/ClassNode.java,381,if (!result.containsKey(methSig)) {
src/main/org/codehaus/groovy/ast/ClassNode.java,383,result.put(methSig, methNode);
src/main/org/codehaus/groovy/ast/ClassNode.java,391,String sig = method.getTypeDescriptor();
src/main/org/codehaus/groovy/ast/ClassNode.java,392,result.put(sig, method);
src/main/org/codehaus/groovy/ast/ClassNode.java,394,return result;
src/main/org/codehaus/groovy/classgen/ClassCompletionVerifier.java,199,msg.append(") from ").append(getDescription(superCN));
src/main/org/codehaus/groovy/classgen/ClassCompletionVerifier.java,200,msg.append(".");
src/main/org/codehaus/groovy/classgen/ClassCompletionVerifier.java,201,addError(msg.toString(), method);
