File,Line_number,SRC
src/main/org/codehaus/groovy/classgen/AsmClassGenerator.java,324,private void generateCreateCallSiteArray() {
src/main/org/codehaus/groovy/classgen/AsmClassGenerator.java,325,MethodVisitor mv = cv.visitMethod(ACC_PRIVATE+ACC_SYNTHETIC+ACC_STATIC,"$createCallSiteArray", "()Lorg/codehaus/groovy/runtime/callsite/CallSiteArray;", null, null);
src/main/org/codehaus/groovy/classgen/AsmClassGenerator.java,326,mv.visitCode();
src/main/org/codehaus/groovy/classgen/AsmClassGenerator.java,327,mv.visitTypeInsn(NEW, "org/codehaus/groovy/runtime/callsite/CallSiteArray");
src/main/org/codehaus/groovy/classgen/AsmClassGenerator.java,328,mv.visitInsn(DUP);
src/main/org/codehaus/groovy/classgen/AsmClassGenerator.java,329,mv.visitFieldInsn(GETSTATIC, internalClassName, "$ownClass", "Ljava/lang/Class;");
src/main/org/codehaus/groovy/classgen/AsmClassGenerator.java,331,final int size = callSites.size();
src/main/org/codehaus/groovy/classgen/AsmClassGenerator.java,332,mv.visitLdcInsn(size);
src/main/org/codehaus/groovy/classgen/AsmClassGenerator.java,333,mv.visitTypeInsn(ANEWARRAY, "java/lang/String");
src/main/org/codehaus/groovy/classgen/AsmClassGenerator.java,334,for (int i = 0; i < size; i++) {
src/main/org/codehaus/groovy/classgen/AsmClassGenerator.java,335,mv.visitInsn(DUP);
src/main/org/codehaus/groovy/classgen/AsmClassGenerator.java,336,mv.visitLdcInsn(i);
src/main/org/codehaus/groovy/classgen/AsmClassGenerator.java,337,mv.visitLdcInsn(callSites.get(i));
src/main/org/codehaus/groovy/classgen/AsmClassGenerator.java,338,mv.visitInsn(AASTORE);
src/main/org/codehaus/groovy/classgen/AsmClassGenerator.java,341,mv.visitMethodInsn(INVOKESPECIAL, "org/codehaus/groovy/runtime/callsite/CallSiteArray", "<init>", "(Ljava/lang/Class;[Ljava/lang/String;)V");
src/main/org/codehaus/groovy/classgen/AsmClassGenerator.java,342,mv.visitInsn(ARETURN);
src/main/org/codehaus/groovy/classgen/AsmClassGenerator.java,343,mv.visitMaxs(0,0);
src/main/org/codehaus/groovy/classgen/AsmClassGenerator.java,344,mv.visitEnd();
src/main/org/codehaus/groovy/runtime/wrappers/Wrapper.java,267,return this.delegatingMetaClass;
src/main/org/codehaus/groovy/runtime/callsite/AbstractCallSite.java,272,return createPogoGetPropertySite (aClass);
src/main/groovy/lang/MetaClassImpl.java,1104,if(object instanceof Script) {
src/main/groovy/lang/MetaClassImpl.java,1105,Object bindingVar = ((Script)object).getBinding().getVariables().get(methodName);
src/main/groovy/lang/MetaClassImpl.java,1106,if(bindingVar != null) {
src/main/groovy/lang/MetaClassImpl.java,1107,MetaClass bindingVarMC = ((MetaClassRegistryImpl)registry).getMetaClass(bindingVar);
src/main/groovy/lang/MetaClassImpl.java,1108,return bindingVarMC.invokeMethod(bindingVar, CLOSURE_CALL_METHOD, originalArguments);
src/main/groovy/lang/MetaClassImpl.java,1146,if (params==null) return false;
src/main/groovy/lang/MetaClassImpl.java,1149,return false;
src/main/groovy/lang/MetaClassImpl.java,1151,for (int i = params.length-1; i >= 0; i--) {
src/main/groovy/lang/MetaClassImpl.java,1155,return false;
src/main/groovy/lang/MetaClassImpl.java,1157,else
src/main/groovy/lang/MetaClassImpl.java,1345,if(prop != null) {
src/main/groovy/lang/MetaClassImpl.java,1346,MetaClass propMC = registry.getMetaClass(prop.getClass());
src/main/groovy/lang/MetaClassImpl.java,1347,return propMC.invokeMethod(prop, CLOSURE_CALL_METHOD, arguments);
src/main/groovy/lang/MetaClassImpl.java,1387,if(method == null && mse != null) {
src/main/groovy/lang/MetaClassImpl.java,1388,throw mse;
src/main/groovy/lang/MetaClassImpl.java,1870,private MetaMethod findPropertyMethod(Object methodOrList, boolean isGetter) {
src/main/groovy/lang/MetaClassImpl.java,2136,if (methodName.length() < 4) continue;
src/main/groovy/lang/MetaClassImpl.java,2138,boolean isGetter = methodName.startsWith("get");
src/main/groovy/lang/MetaClassImpl.java,2142,MetaMethod propertyMethod = findPropertyMethod(isThis ? e.methods : e.methodsForSuper, isGetter);
src/main/groovy/lang/MetaClassImpl.java,2159,String propName = java.beans.Introspector.decapitalize(methodName.substring(3));
src/main/groovy/lang/MetaClassImpl.java,2329,if (!useSuper && !isStatic && GroovyCategorySupport.hasCategoryInCurrentThread()) {
src/main/org/codehaus/groovy/tools/groovydoc/GroovyDocTool.java,46,this(resourceManager, sourcepaths, new String[]{}, new String[]{}, new String[]{classTemplate}, new ArrayList(), new Properties());
src/main/org/codehaus/groovy/tools/groovydoc/GroovyRootDocBuilder.java,232,description = pruneTagFromFront(description, "p");
src/main/org/codehaus/groovy/tools/groovydoc/GroovyRootDocBuilder.java,233,description = pruneTagFromEnd(description, "/p");
src/main/org/codehaus/groovy/tools/groovydoc/GroovyRootDocBuilder.java,245,int index = Math.max(description.indexOf("<" + tag.toLowerCase() + ">"),
src/main/org/codehaus/groovy/tools/groovydoc/GroovyRootDocBuilder.java,246,description.indexOf("<" + tag.toUpperCase() + ">"));
src/main/org/codehaus/groovy/tools/groovydoc/SimpleGroovyClassDoc.java,541,if (tagname.equals("see") || tagname.equals("link")) {
src/main/org/codehaus/groovy/tools/groovydoc/SimpleGroovyClassDoc.java,542,matcher.appendReplacement(sb, s1 + getDocUrl(encodeSpecialSymbols(matcher.group(2))) + s2);
src/main/org/codehaus/groovy/tools/groovydoc/SimpleGroovyClassDoc.java,544,matcher.appendReplacement(sb, s1 + encodeSpecialSymbols(matcher.group(2)) + s2);
src/main/groovy/time/BaseDuration.java,101,buffer.add(this.seconds + "." + DefaultGroovyMethods.padLeft("" + this.millis, new Integer(3), "0")  + " seconds");
src/main/org/codehaus/groovy/transform/DelegateASTTransformation.java,140,method.getModifiers() & (~ACC_ABSTRACT),
src/main/groovy/lang/ExpandoMetaClassCreationHandle.java,49,return super.create(theClass, registry);
src/main/org/codehaus/groovy/runtime/MethodClosure.java,20,import java.lang.reflect.Method;
src/main/org/codehaus/groovy/runtime/MethodClosure.java,21,import java.security.AccessController;
src/main/org/codehaus/groovy/runtime/MethodClosure.java,22,import java.security.PrivilegedAction;
src/main/org/codehaus/groovy/runtime/MethodClosure.java,45,Method[] methods = (Method[]) AccessController.doPrivileged(new  PrivilegedAction() {
src/main/org/codehaus/groovy/runtime/MethodClosure.java,46,public Object run() {
src/main/org/codehaus/groovy/runtime/MethodClosure.java,47,return clazz.getMethods();
src/main/org/codehaus/groovy/runtime/MethodClosure.java,50,for (int j = 0; j < methods.length; j++) {
src/main/org/codehaus/groovy/runtime/MethodClosure.java,51,if (method.equals(methods[j].getName()) && methods[j].getParameterTypes().length > maximumNumberOfParameters) {
src/main/org/codehaus/groovy/runtime/MethodClosure.java,52,Class[] pt = methods[j].getParameterTypes();
src/main/org/codehaus/groovy/runtime/MethodClosure.java,57,methods = (Method[]) AccessController.doPrivileged(new  PrivilegedAction() {
src/main/org/codehaus/groovy/runtime/MethodClosure.java,58,public Object run() {
src/main/org/codehaus/groovy/runtime/MethodClosure.java,59,return clazz.getDeclaredMethods();
src/main/org/codehaus/groovy/runtime/MethodClosure.java,62,for (int j = 0; j < methods.length; j++) {
