File,Line_number,SRC
src/main/org/codehaus/groovy/classgen/asm/sc/StaticTypesUnaryExpressionHelper.java,61,mv.visitLdcInsn(-1);
src/main/groovy/lang/MetaClassImpl.java,2781,public Object getAttribute(Class sender, Object receiver, String messageName, boolean useSuper) {
src/main/groovy/lang/MetaClassImpl.java,2782,return getAttribute(receiver, messageName);
src/main/groovy/lang/MetaClassImpl.java,2820,throw new MissingFieldException(attribute, theClass);
src/main/groovy/lang/MetaClassImpl.java,2860,throw new MissingFieldException(attribute, theClass);
src/main/org/codehaus/groovy/vmplugin/v5/Java5.java,246,configureAnnotationFromDefinition(node, node);
src/main/org/codehaus/groovy/ast/tools/GenericsUtils.java,169,if (value.isWildcard()) {
src/main/org/codehaus/groovy/ast/tools/GenericsUtils.java,170,ClassNode lowerBound = value.getLowerBound();
src/main/org/codehaus/groovy/ast/tools/GenericsUtils.java,171,if (lowerBound!=null) {
src/main/org/codehaus/groovy/ast/tools/GenericsUtils.java,172,extractPlaceholders(lowerBound, map);
src/main/org/codehaus/groovy/ast/tools/GenericsUtils.java,174,ClassNode[] upperBounds = value.getUpperBounds();
src/main/org/codehaus/groovy/ast/tools/GenericsUtils.java,175,if (upperBounds!=null) {
src/main/org/codehaus/groovy/ast/tools/GenericsUtils.java,176,for (ClassNode upperBound : upperBounds) {
src/main/org/codehaus/groovy/ast/tools/GenericsUtils.java,177,extractPlaceholders(upperBound, map);
src/main/org/codehaus/groovy/ast/tools/GenericsUtils.java,181,extractPlaceholders(value.getType(), map);
src/main/org/codehaus/groovy/control/CompilerConfiguration.java,62,private static final String[] ALLOWED_JDKS = { JDK4, JDK5, JDK6, JDK7, JDK8 };
subprojects/groovy-ant/src/main/java/org/codehaus/groovy/ant/Groovyc.java,293,if (CompilerConfiguration.PRE_JDK5.equals(version) || CompilerConfiguration.POST_JDK5.equals(version)) {
subprojects/groovy-ant/src/main/java/org/codehaus/groovy/ant/Groovyc.java,294,this.targetBytecode = version;
src/main/org/codehaus/groovy/transform/stc/StaticTypeCheckingVisitor.java,773,if (node.isUsingGenerics() && node instanceof InnerClassNode && ((InnerClassNode) node).isAnonymous()) {
src/main/org/codehaus/groovy/transform/stc/StaticTypeCheckingVisitor.java,774,ClassNode[] interfaces = node.getInterfaces();
src/main/org/codehaus/groovy/transform/stc/StaticTypeCheckingVisitor.java,775,node = interfaces != null && interfaces.length == 1 ? interfaces[0] : node.getUnresolvedSuperClass(false);
src/main/org/codehaus/groovy/transform/stc/StaticTypeCheckingVisitor.java,776,if ((node.getGenericsTypes() == null || node.getGenericsTypes().length == 0) && lType.isUsingGenerics()) {
src/main/org/codehaus/groovy/ast/ConstructorNode.java,39,super("<init>",modifiers,ClassHelper.VOID_TYPE,parameters,exceptions,code);
src/main/org/codehaus/groovy/ast/ConstructorNode.java,42,VariableScope scope = new VariableScope();
src/main/org/codehaus/groovy/ast/ConstructorNode.java,43,for (int i = 0; i < parameters.length; i++) {
src/main/org/codehaus/groovy/ast/ConstructorNode.java,44,scope.putDeclaredVariable(parameters[i]);
src/main/org/codehaus/groovy/ast/ConstructorNode.java,46,this.setVariableScope(scope);
src/main/org/codehaus/groovy/ast/MethodNode.java,60,VariableScope scope = new VariableScope();
src/main/org/codehaus/groovy/ast/MethodNode.java,61,setVariableScope(scope);
subprojects/groovy-groovydoc/src/main/java/org/codehaus/groovy/tools/groovydoc/SimpleGroovyClassDocAssembler.java,64,if (file != null) {
src/main/org/codehaus/groovy/ast/tools/GenericsUtils.java,424,ret.put(sgt.getName(), sgt.getType());
src/main/org/codehaus/groovy/vmplugin/v5/Java5.java,377,Parameter[] params = makeParameters(compileUnit, ctor.getGenericParameterTypes(), ctor.getParameterTypes(), ctor.getParameterAnnotations());
src/main/org/codehaus/groovy/classgen/AsmClassGenerator.java,1247,Iterator<InnerClassNode> it = controller.getClassNode().getInnerClasses();
src/main/org/codehaus/groovy/transform/sc/transformers/VariableExpressionTransformer.java,37,Expression trn = tryTransformPrivateFieldAccess(expr);
src/main/org/codehaus/groovy/transform/sc/transformers/VariableExpressionTransformer.java,41,trn = tryTransformDelegateToProperty(expr);
src/main/org/codehaus/groovy/transform/sc/transformers/MethodCallExpressionTransformer.java,64,if (isCallOnClosure(expr)) {
src/main/org/codehaus/groovy/classgen/asm/BinaryBooleanExpressionHelper.java,71,protected int getBitwiseOperationBytecode(int type) {
src/main/org/codehaus/groovy/classgen/asm/BinaryBooleanExpressionHelper.java,72,return -1;
src/main/org/codehaus/groovy/control/ResolveVisitor.java,246,private boolean resolveToNestedOfCurrent(ClassNode type) {
src/main/org/codehaus/groovy/control/ResolveVisitor.java,928,if(!isClass) isClass = resolveToNestedOfCurrent(t);
src/main/org/codehaus/groovy/control/ResolveVisitor.java,240,if(resolveToNestedOfCurrent(type)) return true;
src/main/org/codehaus/groovy/control/ResolveVisitor.java,251,if (currentClass != type && !name.contains(".") && type.getClass().equals(ClassNode.class)) {
src/main/org/codehaus/groovy/control/ResolveVisitor.java,252,ClassNode tmp = new ConstructedNestedClass(currentClass,name);
src/main/groovy/lang/MissingMethodException.java,53,this.arguments = arguments;
subprojects/groovy-jsr223/src/main/java/org/codehaus/groovy/jsr223/GroovyScriptEngineImpl.java,446,return invokeImpl(thiz, m.getName(), args);
