File,Line_number,SRC
hbase-server/src/main/java/org/apache/hadoop/hbase/HDFSBlocksDistribution.java,116,return "number of unique hosts in the disribution=" +
hbase-server/src/main/java/org/apache/hadoop/hbase/io/hfile/HFileBlock.java,1347,HFile.LOG.warn("HDFS checksum verification suceeded for file " +
hbase-server/src/main/java/org/apache/hadoop/hbase/master/AssignmentVerificationReport.java,463,System.err.println("[Error] Region assignment verfication report" +
hbase-server/src/main/java/org/apache/hadoop/hbase/master/RegionPlacementMaintainer.java,975,opt.addOption("l", "locality", true, "enforce the maxium locality");
hbase-server/src/main/java/org/apache/hadoop/hbase/master/RegionPlacementMaintainer.java,976,opt.addOption("m", "min-move", true, "enforce minium assignment move");
hbase-server/src/main/java/org/apache/hadoop/hbase/master/RegionStates.java,761,server.abort("Aborting because error occoured while reading "
hbase-server/src/main/java/org/apache/hadoop/hbase/master/balancer/FavoredNodeAssignmentHelper.java,462,LOG.error("Cannot place the secondary and terinary" +
hbase-server/src/main/java/org/apache/hadoop/hbase/master/balancer/FavoredNodeAssignmentHelper.java,500,LOG.error("Cannot place the secondary and terinary" +
hbase-server/src/main/java/org/apache/hadoop/hbase/procedure/ZKProcedureMemberRpcs.java,205,String msg = "Data in for starting procuedure " + opName +
hbase-server/src/main/java/org/apache/hadoop/hbase/regionserver/handler/HLogSplitterHandler.java,87,LOG.warn("task execution prempted " + wal);
hbase-server/src/main/java/org/apache/hadoop/hbase/security/access/TableAuthManager.java,217,LOG.error("Error occured while updating the global cache", e);
hbase-server/src/main/java/org/apache/hadoop/hbase/util/HBaseFsck.java,596,LOG.warn("Region's boundaries not alligned between stores and META for:");
hbase-server/src/main/java/org/apache/hadoop/hbase/util/HBaseFsck.java,630,LOG.warn("Attempt to adopt ophan hdfs region skipped becuase no files present in " +
hbase-server/src/main/java/org/apache/hadoop/hbase/util/HBaseFsck.java,805,LOG.info("Trying to sildeline reference file "
hbase-server/src/main/java/org/apache/hadoop/hbase/util/hbck/HFileCorruptionChecker.java,253,LOG.warn("Failed to quaratine an HFile in regiondir "
hbase-server/src/main/java/org/apache/hadoop/hbase/io/hfile/HFileBlock.java,1151,HFileBlock b = readBlockData(offset, -1, -1, false);
hbase-server/src/main/java/org/apache/hadoop/hbase/io/hfile/HFileBlock.java,1263,private ThreadLocal<PrefetchedHeader> prefetchedHeaderForThread =
hbase-server/src/main/java/org/apache/hadoop/hbase/io/hfile/HFileBlock.java,1264,new ThreadLocal<PrefetchedHeader>() {
hbase-server/src/main/java/org/apache/hadoop/hbase/io/hfile/HFileBlock.java,1266,public PrefetchedHeader initialValue() {
hbase-server/src/main/java/org/apache/hadoop/hbase/io/hfile/HFileBlock.java,1267,return new PrefetchedHeader();
hbase-server/src/main/java/org/apache/hadoop/hbase/io/hfile/HFileBlock.java,1411,PrefetchedHeader prefetchedHeader = prefetchedHeaderForThread.get();
hbase-server/src/main/java/org/apache/hadoop/hbase/io/hfile/HFileBlock.java,1412,ByteBuffer headerBuf = prefetchedHeader.offset == offset ?
hbase-server/src/main/java/org/apache/hadoop/hbase/io/hfile/HFileBlock.java,1413,prefetchedHeader.buf : null;
hbase-server/src/main/java/org/apache/hadoop/hbase/io/hfile/HFileBlock.java,1458,+ prefetchedHeader.header.length
hbase-server/src/main/java/org/apache/hadoop/hbase/io/hfile/HFileBlock.java,1460,+ Bytes.toStringBinary(prefetchedHeader.header, 0,
hbase-server/src/main/java/org/apache/hadoop/hbase/io/hfile/HFileBlock.java,1546,prefetchedHeader.offset = offset + b.getOnDiskSizeWithHeader();
hbase-server/src/main/java/org/apache/hadoop/hbase/io/hfile/HFileBlock.java,1547,System.arraycopy(onDiskBlock, onDiskSizeWithHeader,
hbase-server/src/main/java/org/apache/hadoop/hbase/io/hfile/HFileBlock.java,1548,prefetchedHeader.header, 0, hdrSize);
hbase-client/src/main/java/org/apache/hadoop/hbase/client/HConnectionManager.java,1100,if (this.closed) throw new IOException(toString() + " closed");
hbase-server/src/main/java/org/apache/hadoop/hbase/replication/regionserver/ReplicationSourceManager.java,413,for (ReplicationSourceInterface src : this.sources) {
hbase-server/src/main/java/org/apache/hadoop/hbase/replication/regionserver/ReplicationSourceManager.java,414,if (id.equals(src.getPeerClusterId())) {
hbase-server/src/main/java/org/apache/hadoop/hbase/io/hfile/HFileBlockIndex.java,337,keyRelOffset;
hbase-server/src/main/java/org/apache/hadoop/hbase/regionserver/HRegionServer.java,1914,createRegionServerStatusStub() {
hbase-server/src/main/java/org/apache/hadoop/hbase/regionserver/HRegionServer.java,1918,boolean refresh = false; // for the first time, use cached data
hbase-client/src/main/java/org/apache/hadoop/hbase/client/HConnectionManager.java,1816,return new DelayedClosing(hci, stoppable);
hbase-common/src/main/java/org/apache/hadoop/hbase/VersionAnnotation.java,18,package org.apache.hadoop.hbase;
hbase-common/src/main/java/org/apache/hadoop/hbase/VersionAnnotation.java,20,import java.lang.annotation.*;
hbase-common/src/main/java/org/apache/hadoop/hbase/VersionAnnotation.java,31,public @interface VersionAnnotation {
hbase-common/src/main/java/org/apache/hadoop/hbase/VersionAnnotation.java,37,String version();
hbase-common/src/main/java/org/apache/hadoop/hbase/VersionAnnotation.java,42,String user();
hbase-common/src/main/java/org/apache/hadoop/hbase/VersionAnnotation.java,48,String date();
hbase-common/src/main/java/org/apache/hadoop/hbase/VersionAnnotation.java,53,String url();
hbase-common/src/main/java/org/apache/hadoop/hbase/VersionAnnotation.java,59,String revision();
hbase-common/src/main/java/org/apache/hadoop/hbase/util/VersionInfo.java,26,import org.apache.hadoop.hbase.VersionAnnotation;
hbase-common/src/main/java/org/apache/hadoop/hbase/util/VersionInfo.java,27,import org.apache.commons.logging.Log;
hbase-common/src/main/java/org/apache/hadoop/hbase/util/VersionInfo.java,37,private static Package myPackage;
hbase-common/src/main/java/org/apache/hadoop/hbase/util/VersionInfo.java,38,private static VersionAnnotation version;
hbase-common/src/main/java/org/apache/hadoop/hbase/util/VersionInfo.java,40,static {
hbase-common/src/main/java/org/apache/hadoop/hbase/util/VersionInfo.java,41,myPackage = VersionAnnotation.class.getPackage();
hbase-common/src/main/java/org/apache/hadoop/hbase/util/VersionInfo.java,42,version = myPackage.getAnnotation(VersionAnnotation.class);
hbase-common/src/main/java/org/apache/hadoop/hbase/util/VersionInfo.java,49,static Package getPackage() {
hbase-common/src/main/java/org/apache/hadoop/hbase/util/VersionInfo.java,50,return myPackage;
hbase-common/src/main/java/org/apache/hadoop/hbase/util/VersionInfo.java,58,return version != null ? version.version() : "Unknown";
hbase-common/src/main/java/org/apache/hadoop/hbase/util/VersionInfo.java,66,return version != null ? version.revision() : "Unknown";
hbase-common/src/main/java/org/apache/hadoop/hbase/util/VersionInfo.java,74,return version != null ? version.date() : "Unknown";
hbase-common/src/main/java/org/apache/hadoop/hbase/util/VersionInfo.java,82,return version != null ? version.user() : "Unknown";
hbase-common/src/main/java/org/apache/hadoop/hbase/util/VersionInfo.java,90,return version != null ? version.url() : "Unknown";
hbase-server/src/main/java/org/apache/hadoop/hbase/master/CatalogJanitor.java,380,boolean references = false;
hbase-server/src/main/java/org/apache/hadoop/hbase/master/CatalogJanitor.java,381,HTableDescriptor parentDescriptor = getTableDescriptor(parent.getTable());
hbase-server/src/main/java/org/apache/hadoop/hbase/master/CatalogJanitor.java,382,for (HColumnDescriptor family: parentDescriptor.getFamilies()) {
hbase-server/src/main/java/org/apache/hadoop/hbase/master/CatalogJanitor.java,383,if ((references = regionFs.hasReferences(family.getNameAsString()))) {
hbase-server/src/main/java/org/apache/hadoop/hbase/master/CatalogJanitor.java,384,break;
hbase-server/src/main/java/org/apache/hadoop/hbase/regionserver/HRegionFileSystem.java,204,FileStatus[] files = FSUtils.listStatus(fs, getStoreDir(familyName),
hbase-server/src/main/java/org/apache/hadoop/hbase/regionserver/HRegionFileSystem.java,211,return files != null && files.length > 0;
hbase-client/src/main/java/org/apache/hadoop/hbase/client/HConnectionManager.java,1201,metaLocation = locateRegion(parentTable, metaKey, true, false);
hbase-client/src/main/java/org/apache/hadoop/hbase/RegionLoad.java,53,return Bytes.toString(getName());
hbase-hadoop-compat/src/main/java/org/apache/hadoop/hbase/ipc/MetricsHBaseServerSourceFactory.java,50,if (serverName.contains("HMaster")) {
hbase-server/src/main/java/org/apache/hadoop/hbase/regionserver/HRegionServer.java,852,this.rsHost = new RegionServerCoprocessorHost(this, this.conf);
hbase-common/src/main/java/org/apache/hadoop/hbase/io/TimeRange.java,142,if(allTime) return true;
hbase-common/src/main/java/org/apache/hadoop/hbase/io/TimeRange.java,144,return (minStamp <= timestamp && timestamp < maxStamp);
