File,Line_number,SRC
modules/core/src/main/java/org/apache/ignite/internal/processors/cache/transactions/IgniteTxEntry.java,867,assert cacheCtx != null : "Failed to find cache context [cacheId=" + cacheId +
modules/core/src/main/java/org/apache/ignite/internal/processors/cache/distributed/GridCacheTxFinishSync.java,30,import org.apache.ignite.internal.util.typedef.F;
modules/core/src/main/java/org/apache/ignite/internal/processors/cache/distributed/GridCacheTxFinishSync.java,68,threadSync = F.addIfAbsent(threadMap, threadId, new ThreadFinishSync(threadId));
modules/core/src/main/java/org/apache/ignite/internal/processors/cache/distributed/GridCacheTxFinishSync.java,70,threadSync.onSend(nodeId);
modules/core/src/main/java/org/apache/ignite/internal/processors/cache/distributed/GridCacheTxFinishSync.java,195,TxFinishSync sync = nodeMap.get(nodeId);
modules/core/src/main/java/org/apache/ignite/events/EventType.java,1014,EVT_CACHE_REBALANCE_PART_DATA_LOST
modules/core/src/main/java/org/apache/ignite/internal/processors/cache/DynamicCacheDescriptor.java,43,private CacheConfiguration cacheCfg;
modules/core/src/main/java/org/apache/ignite/internal/processors/cache/GridCacheAdapter.java,3532,return new GridFinishedFuture<>();
modules/core/src/main/java/org/apache/ignite/internal/processors/cache/GridCacheAdapter.java,3540,if (replaceExisting) {
modules/core/src/main/java/org/apache/ignite/internal/processors/cache/GridCacheAdapter.java,3542,return runLoadKeysCallable(keys, plc, keepBinary, true);
modules/core/src/main/java/org/apache/ignite/internal/processors/cache/GridCacheAdapter.java,3543,else {
modules/core/src/main/java/org/apache/ignite/internal/processors/cache/GridCacheAdapter.java,3544,return ctx.closures().callLocalSafe(new Callable<Void>() {
modules/core/src/main/java/org/apache/ignite/internal/processors/cache/GridCacheAdapter.java,3546,localLoadAndUpdate(keys);
modules/core/src/main/java/org/apache/ignite/internal/processors/cache/GridCacheAdapter.java,3548,return null;
modules/core/src/main/java/org/apache/ignite/internal/processors/cache/GridCacheAdapter.java,3553,else
modules/core/src/main/java/org/apache/ignite/internal/processors/cache/GridCacheAdapter.java,3554,return runLoadKeysCallable(keys, plc, keepBinary, false);
modules/core/src/main/java/org/apache/ignite/internal/processors/cache/GridCacheAttributes.java,54,ccfg = cfg;
modules/core/src/main/java/org/apache/ignite/internal/processors/cache/GridCacheProcessor.java,24,import java.util.Comparator;
modules/core/src/main/java/org/apache/ignite/internal/processors/cache/GridCacheProcessor.java,399,if (cc.isWriteBehindEnabled()) {
modules/core/src/main/java/org/apache/ignite/internal/processors/cache/GridCacheProcessor.java,2146,CacheConfiguration cfgTemplate = null;
modules/core/src/main/java/org/apache/ignite/internal/processors/cache/GridCacheProcessor.java,2148,CacheConfiguration dfltCacheCfg = null;
modules/core/src/main/java/org/apache/ignite/internal/processors/cache/GridCacheProcessor.java,2150,List<CacheConfiguration> wildcardNameCfgs = null;
modules/core/src/main/java/org/apache/ignite/internal/processors/cache/GridCacheProcessor.java,2160,cfgTemplate = cfg;
modules/core/src/main/java/org/apache/ignite/internal/processors/cache/GridCacheProcessor.java,2171,wildcardNameCfgs.add(cfg);
modules/core/src/main/java/org/apache/ignite/internal/processors/cache/GridCacheDeploymentManager.java,833,for (CachedDeploymentInfo<K, V> t : deps.values()) {
modules/core/src/main/java/org/apache/ignite/internal/processors/cache/GridCacheDeploymentManager.java,834,UUID sndId = t.senderId();
modules/core/src/main/java/org/apache/ignite/internal/processors/cache/GridCacheDeploymentManager.java,835,IgniteUuid ldrId = t.loaderId();
modules/core/src/main/java/org/apache/ignite/internal/processors/cache/GridCacheDeploymentManager.java,836,String userVer = t.userVersion();
modules/core/src/main/java/org/apache/ignite/internal/processors/cache/GridCacheDeploymentManager.java,837,DeploymentMode mode = t.mode();
modules/core/src/main/java/org/apache/ignite/internal/processors/cache/GridCacheDeploymentManager.java,838,Map<UUID, IgniteUuid> participants = t.participants();
modules/core/src/main/java/org/apache/ignite/internal/processors/cache/GridCacheDeploymentManager.java,840,GridDeployment d = cctx.gridDeploy().getGlobalDeployment(
modules/core/src/main/java/org/apache/ignite/internal/processors/cache/GridCacheDeploymentManager.java,841,mode,
modules/core/src/main/java/org/apache/ignite/internal/processors/cache/GridCacheDeploymentManager.java,842,name,
modules/core/src/main/java/org/apache/ignite/internal/processors/cache/GridCacheDeploymentManager.java,843,name,
modules/core/src/main/java/org/apache/ignite/internal/processors/cache/GridCacheDeploymentManager.java,844,userVer,
modules/core/src/main/java/org/apache/ignite/internal/processors/cache/GridCacheDeploymentManager.java,845,sndId,
modules/core/src/main/java/org/apache/ignite/internal/processors/cache/GridCacheDeploymentManager.java,846,ldrId,
modules/core/src/main/java/org/apache/ignite/internal/processors/cache/GridCacheDeploymentManager.java,847,participants,
modules/core/src/main/java/org/apache/ignite/internal/processors/cache/GridCacheDeploymentManager.java,848,F.<ClusterNode>alwaysTrue());
modules/core/src/main/java/org/apache/ignite/internal/processors/cache/GridCacheDeploymentManager.java,850,if (d != null) {
modules/core/src/main/java/org/apache/ignite/internal/processors/cache/GridCacheDeploymentManager.java,851,Class cls = d.deployedClass(name);
modules/core/src/main/java/org/apache/ignite/spi/discovery/tcp/ServerImpl.java,931,long noResStart = 0;
modules/core/src/main/java/org/apache/ignite/spi/discovery/tcp/ServerImpl.java,951,noResStart = 0;
modules/core/src/main/java/org/apache/ignite/spi/discovery/tcp/ServerImpl.java,1029,noResStart = U.currentTimeMillis();
modules/core/src/main/java/org/apache/ignite/internal/processors/cache/GridCacheIoManager.java,323,U.error(log, "Failed to process message [senderId=" + nodeId + ", messageType=" + cacheMsg.getClass() + ']', e);
modules/core/src/main/java/org/apache/ignite/internal/processors/affinity/GridAffinityAssignmentCache.java,60,private final int MAX_HIST_SIZE = getInteger(IGNITE_AFFINITY_HISTORY_SIZE, 500);
modules/core/src/main/java/org/apache/ignite/internal/processors/cache/binary/CacheObjectBinaryProcessorImpl.java,33,import javax.cache.CacheException;
modules/core/src/main/java/org/apache/ignite/internal/util/nio/GridNioServer.java,969,writeSslSystem(ses, sockCh);
modules/core/src/main/java/org/apache/ignite/internal/util/nio/GridNioServer.java,1134,break;
modules/core/src/main/java/org/apache/ignite/internal/util/nio/ssl/BlockingSslHandler.java,487,ch.write(outNetBuf);
modules/core/src/main/java/org/apache/ignite/internal/processors/cache/distributed/dht/GridDhtTxPrepareFuture.java,1027,assert false : "Got removed exception on entry with dht local candidate: " + entries;
modules/core/src/main/java/org/apache/ignite/internal/processors/datastructures/GridCacheAtomicLongImpl.java,240,catch (IgniteCheckedException e) {
modules/core/src/main/java/org/apache/ignite/internal/processors/datastructures/GridCacheAtomicLongImpl.java,241,throw U.convertException(e);
modules/core/src/main/java/org/apache/ignite/internal/processors/datastructures/GridCacheAtomicLongImpl.java,252,catch (IgniteCheckedException e) {
modules/core/src/main/java/org/apache/ignite/internal/processors/datastructures/GridCacheAtomicLongImpl.java,253,throw U.convertException(e);
modules/core/src/main/java/org/apache/ignite/internal/processors/datastructures/GridCacheAtomicLongImpl.java,264,catch (IgniteCheckedException e) {
modules/core/src/main/java/org/apache/ignite/internal/processors/datastructures/GridCacheAtomicLongImpl.java,265,throw U.convertException(e);
modules/core/src/main/java/org/apache/ignite/internal/processors/datastructures/GridCacheAtomicLongImpl.java,276,catch (IgniteCheckedException e) {
modules/core/src/main/java/org/apache/ignite/internal/processors/datastructures/GridCacheAtomicLongImpl.java,277,throw U.convertException(e);
modules/core/src/main/java/org/apache/ignite/internal/processors/datastructures/GridCacheAtomicLongImpl.java,288,catch (IgniteCheckedException e) {
modules/core/src/main/java/org/apache/ignite/internal/processors/datastructures/GridCacheAtomicLongImpl.java,289,throw U.convertException(e);
modules/core/src/main/java/org/apache/ignite/internal/processors/datastructures/GridCacheAtomicLongImpl.java,300,catch (IgniteCheckedException e) {
modules/core/src/main/java/org/apache/ignite/internal/processors/datastructures/GridCacheAtomicLongImpl.java,301,throw U.convertException(e);
modules/core/src/main/java/org/apache/ignite/internal/processors/datastructures/GridCacheAtomicLongImpl.java,312,catch (IgniteCheckedException e) {
modules/core/src/main/java/org/apache/ignite/internal/processors/datastructures/GridCacheAtomicLongImpl.java,313,throw U.convertException(e);
modules/core/src/main/java/org/apache/ignite/internal/processors/datastructures/GridCacheAtomicLongImpl.java,324,catch (IgniteCheckedException e) {
modules/core/src/main/java/org/apache/ignite/internal/processors/datastructures/GridCacheAtomicLongImpl.java,325,throw U.convertException(e);
modules/core/src/main/java/org/apache/ignite/internal/processors/datastructures/GridCacheAtomicLongImpl.java,336,catch (IgniteCheckedException e) {
modules/core/src/main/java/org/apache/ignite/internal/processors/datastructures/GridCacheAtomicLongImpl.java,337,throw U.convertException(e);
modules/core/src/main/java/org/apache/ignite/internal/processors/datastructures/GridCacheAtomicLongImpl.java,352,catch (IgniteCheckedException e) {
modules/core/src/main/java/org/apache/ignite/internal/processors/datastructures/GridCacheAtomicLongImpl.java,353,throw U.convertException(e);
modules/core/src/main/java/org/apache/ignite/internal/processors/datastructures/GridCacheAtomicReferenceImpl.java,135,catch (IgniteCheckedException e) {
modules/core/src/main/java/org/apache/ignite/internal/processors/datastructures/GridCacheAtomicReferenceImpl.java,136,throw U.convertException(e);
modules/core/src/main/java/org/apache/ignite/internal/processors/datastructures/GridCacheAtomicReferenceImpl.java,147,catch (IgniteCheckedException e) {
modules/core/src/main/java/org/apache/ignite/internal/processors/datastructures/GridCacheAtomicReferenceImpl.java,148,throw U.convertException(e);
modules/core/src/main/java/org/apache/ignite/internal/processors/datastructures/GridCacheAtomicStampedImpl.java,159,catch (IgniteCheckedException e) {
modules/core/src/main/java/org/apache/ignite/internal/processors/datastructures/GridCacheAtomicStampedImpl.java,160,throw U.convertException(e);
modules/core/src/main/java/org/apache/ignite/internal/processors/datastructures/GridCacheAtomicStampedImpl.java,171,catch (IgniteCheckedException e) {
modules/core/src/main/java/org/apache/ignite/internal/processors/datastructures/GridCacheAtomicStampedImpl.java,172,throw U.convertException(e);
modules/core/src/main/java/org/apache/ignite/internal/processors/datastructures/GridCacheAtomicStampedImpl.java,184,catch (IgniteCheckedException e) {
modules/core/src/main/java/org/apache/ignite/internal/processors/datastructures/GridCacheAtomicStampedImpl.java,185,throw U.convertException(e);
modules/core/src/main/java/org/apache/ignite/internal/processors/datastructures/GridCacheAtomicStampedImpl.java,196,catch (IgniteCheckedException e) {
modules/core/src/main/java/org/apache/ignite/internal/processors/datastructures/GridCacheAtomicStampedImpl.java,197,throw U.convertException(e);
modules/core/src/main/java/org/apache/ignite/internal/processors/datastructures/GridCacheAtomicStampedImpl.java,208,catch (IgniteCheckedException e) {
modules/core/src/main/java/org/apache/ignite/internal/processors/datastructures/GridCacheAtomicStampedImpl.java,209,throw U.convertException(e);
modules/indexing/src/main/java/org/apache/ignite/internal/processors/query/h2/IgniteH2Indexing.java,825,stmt = prepareStatement(conn, sql, useStmtCache);
modules/core/src/main/java/org/apache/ignite/internal/processors/cache/distributed/dht/preloader/GridDhtPartitionDemander.java,661,AffinityTopologyVersion topVer
modules/core/src/main/java/org/apache/ignite/internal/processors/cache/CacheAffinitySharedManager.java,713,if (crd) {
modules/core/src/main/java/org/apache/ignite/internal/processors/cache/CacheAffinitySharedManager.java,717,else {
modules/core/src/main/java/org/apache/ignite/internal/processors/cache/CacheAffinitySharedManager.java,750,assert old == null : old;
modules/core/src/main/java/org/apache/ignite/internal/processors/cache/CacheAffinitySharedManager.java,934,List<GridDhtAssignmentFetchFuture> fetchFuts = new ArrayList<>();
modules/core/src/main/java/org/apache/ignite/internal/processors/cache/CacheAffinitySharedManager.java,938,continue;
modules/core/src/main/java/org/apache/ignite/internal/processors/cache/CacheAffinitySharedManager.java,1088,new IgniteBiInClosure<UUID, GridDhtAffinityAssignmentResponse>() {
modules/core/src/main/java/org/apache/ignite/internal/processors/cache/CacheAffinitySharedManager.java,1093,);
modules/core/src/main/java/org/apache/ignite/internal/processors/cache/CacheAffinitySharedManager.java,1141,assert old == null : old;
modules/core/src/main/java/org/apache/ignite/internal/processors/cache/CacheAffinitySharedManager.java,1180,new IgniteBiInClosure<UUID, GridDhtAffinityAssignmentResponse>() {
modules/core/src/main/java/org/apache/ignite/internal/processors/cache/CacheAffinitySharedManager.java,1185,);
