File,Line_number,SRC
integration/src/main/java/org/apache/mahout/text/MailArchivesClusteringAnalyzer.java,19,import java.io.IOException;
integration/src/main/java/org/apache/mahout/text/MailArchivesClusteringAnalyzer.java,20,import java.io.Reader;
integration/src/main/java/org/apache/mahout/text/MailArchivesClusteringAnalyzer.java,21,import java.util.Arrays;
integration/src/main/java/org/apache/mahout/text/MailArchivesClusteringAnalyzer.java,23,import java.util.regex.Matcher;
integration/src/main/java/org/apache/mahout/text/MailArchivesClusteringAnalyzer.java,24,import java.util.regex.Pattern;
integration/src/main/java/org/apache/mahout/text/MailArchivesClusteringAnalyzer.java,119,protected TokenStreamComponents createComponents(String fieldName, Reader reader) {
integration/src/main/java/org/apache/mahout/text/wikipedia/WikipediaAnalyzer.java,20,import java.io.Reader;
integration/src/main/java/org/apache/mahout/text/wikipedia/WikipediaAnalyzer.java,45,protected TokenStreamComponents createComponents(String fieldName, Reader reader) {
integration/src/main/java/org/apache/mahout/text/wikipedia/WikipediaAnalyzer.java,46,Tokenizer tokenizer = new WikipediaTokenizer(reader);
integration/src/main/java/org/apache/mahout/utils/vectors/lucene/ClusterLabels.java,52,import org.apache.lucene.util.OpenBitSet;
integration/src/main/java/org/apache/mahout/utils/vectors/lucene/ClusterLabels.java,155,Directory dir = FSDirectory.open(new File(this.indexDir));
integration/src/main/java/org/apache/mahout/utils/vectors/lucene/ClusterLabels.java,170,OpenBitSet clusterDocBitset = getClusterDocBitset(reader, idSet, this.idField);
integration/src/main/java/org/apache/mahout/utils/vectors/lucene/ClusterLabels.java,238,private static OpenBitSet getClusterDocBitset(IndexReader reader,
integration/src/main/java/org/apache/mahout/utils/vectors/lucene/ClusterLabels.java,243,OpenBitSet bitset = new OpenBitSet(numDocs);
integration/src/main/java/org/apache/mahout/utils/vectors/lucene/Driver.java,83,Directory dir = FSDirectory.open(file);
math/src/main/java/org/apache/mahout/math/AbstractMatrix.java,62,private int slice;
math/src/main/java/org/apache/mahout/math/AbstractMatrix.java,65,if (slice >= numSlices()) {
math/src/main/java/org/apache/mahout/math/AbstractMatrix.java,68,int i = slice++;
math/src/main/java/org/apache/mahout/math/SparseColumnMatrix.java,34,public SparseColumnMatrix(int rows, int columns, RandomAccessSparseVector[] columnVectors) {
math/src/main/java/org/apache/mahout/math/SparseColumnMatrix.java,37,for (int col = 0; col < columnSize(); col++) {
math/src/main/java/org/apache/mahout/math/SparseColumnMatrix.java,38,this.columnVectors[col] = this.columnVectors[col].clone();
math/src/main/java/org/apache/mahout/math/SparseMatrix.java,40,public SparseMatrix(int rows, int columns, Map<Integer, RandomAccessSparseVector> rowVectors) {
math/src/main/java/org/apache/mahout/math/SparseMatrix.java,43,for (Map.Entry<Integer, RandomAccessSparseVector> entry : rowVectors.entrySet()) {
math/src/main/java/org/apache/mahout/math/SparseMatrix.java,44,this.rowVectors.put(entry.getKey(), entry.getValue().clone());
math/src/main/java/org/apache/mahout/math/SparseMatrix.java,64,public Iterator<MatrixSlice> iterator() {
math/src/main/java/org/apache/mahout/math/VectorView.java,125,Element decorated = vector.getElement(el.index());
integration/src/main/java/org/apache/mahout/utils/vectors/VectorDumper.java,91,+ " conjunction with -sort", false);
integration/src/main/java/org/apache/mahout/utils/vectors/VectorDumper.java,92,addOption(buildOption("filter", "fi", "Only dump out those vectors whose name matches the filter."
integration/src/main/java/org/apache/mahout/utils/vectors/VectorDumper.java,127,if ("text".equals(dictionaryType)) {
integration/src/main/java/org/apache/mahout/utils/vectors/VectorDumper.java,128,dictionary = VectorHelper.loadTermDictionary(new File(dictFile));
integration/src/main/java/org/apache/mahout/utils/vectors/VectorDumper.java,130,dictionary = VectorHelper.loadTermDictionary(conf, dictFile);
integration/src/main/java/org/apache/mahout/utils/vectors/VectorDumper.java,133,throw new IOException("Invalid dictionary type: " + dictionaryType);
integration/src/main/java/org/apache/mahout/utils/vectors/VectorDumper.java,181,: Integer.MAX_VALUE;
integration/src/main/java/org/apache/mahout/utils/vectors/VectorDumper.java,209,(transposeKeyValue ? keyWritable : valueWritable)).get();
integration/src/main/java/org/apache/mahout/utils/vectors/VectorDumper.java,219,if (filters != null
integration/src/main/java/org/apache/mahout/utils/vectors/VectorDumper.java,220,&& vector instanceof NamedVector
integration/src/main/java/org/apache/mahout/utils/vectors/VectorDumper.java,221,&& !filters.contains(((NamedVector) vector).getName())) {
integration/src/main/java/org/apache/mahout/utils/vectors/VectorDumper.java,223,continue;
integration/src/main/java/org/apache/mahout/utils/vectors/VectorDumper.java,225,if (sizeOnly) {
integration/src/main/java/org/apache/mahout/utils/vectors/VectorDumper.java,226,if (vector instanceof NamedVector) {
integration/src/main/java/org/apache/mahout/utils/vectors/VectorDumper.java,227,writer.write(((NamedVector) vector).getName());
integration/src/main/java/org/apache/mahout/utils/vectors/VectorDumper.java,228,writer.write(":");
integration/src/main/java/org/apache/mahout/utils/vectors/VectorDumper.java,230,writer.write(String.valueOf(i++));
integration/src/main/java/org/apache/mahout/utils/vectors/VectorDumper.java,231,writer.write(":");
integration/src/main/java/org/apache/mahout/utils/vectors/VectorDumper.java,233,writer.write(String.valueOf(vector.size()));
integration/src/main/java/org/apache/mahout/utils/vectors/VectorDumper.java,234,writer.write('\n');
integration/src/main/java/org/apache/mahout/utils/vectors/VectorDumper.java,236,if (vector instanceof NamedVector) {
integration/src/main/java/org/apache/mahout/utils/vectors/VectorDumper.java,237,writer.write(((NamedVector) vector).getName());
integration/src/main/java/org/apache/mahout/utils/vectors/VectorDumper.java,241,String fmtStr;
integration/src/main/java/org/apache/mahout/utils/vectors/VectorDumper.java,242,if (useCSV) {
integration/src/main/java/org/apache/mahout/utils/vectors/VectorDumper.java,243,fmtStr = VectorHelper.vectorToCSVString(vector, namesAsComments);
integration/src/main/java/org/apache/mahout/utils/vectors/VectorDumper.java,245,fmtStr = VectorHelper.vectorToJson(vector, dictionary, maxIndexesPerVector,
integration/src/main/java/org/apache/mahout/utils/vectors/VectorDumper.java,246,sortVectors);
integration/src/main/java/org/apache/mahout/utils/vectors/VectorDumper.java,248,writer.write(fmtStr);
integration/src/main/java/org/apache/mahout/utils/vectors/VectorDumper.java,249,writer.write('\n');
integration/src/main/java/org/apache/mahout/utils/vectors/VectorDumper.java,251,itemCount++;
math/src/main/java/org/apache/mahout/math/MatrixVectorView.java,123,return iterator();
examples/src/main/java/org/apache/mahout/classifier/sgd/RunAdaptiveLogistic.java,79,out.write(idColumn + ",target,score");
examples/src/main/java/org/apache/mahout/classifier/sgd/RunAdaptiveLogistic.java,80,out.newLine();
examples/src/main/java/org/apache/mahout/classifier/sgd/RunAdaptiveLogistic.java,82,String line = in.readLine();
examples/src/main/java/org/apache/mahout/classifier/sgd/RunAdaptiveLogistic.java,83,csv.firstLine(line);
examples/src/main/java/org/apache/mahout/classifier/sgd/RunAdaptiveLogistic.java,84,line = in.readLine();
examples/src/main/java/org/apache/mahout/classifier/sgd/RunAdaptiveLogistic.java,85,Map<String, Double> results = new HashMap<String, Double>();
examples/src/main/java/org/apache/mahout/classifier/sgd/RunAdaptiveLogistic.java,86,int k = 0;
examples/src/main/java/org/apache/mahout/classifier/sgd/RunAdaptiveLogistic.java,87,while (line != null) {
examples/src/main/java/org/apache/mahout/classifier/sgd/RunAdaptiveLogistic.java,88,Vector v = new SequentialAccessSparseVector(lmp.getNumFeatures());
examples/src/main/java/org/apache/mahout/classifier/sgd/RunAdaptiveLogistic.java,89,csv.processLine(line, v, false);
examples/src/main/java/org/apache/mahout/classifier/sgd/RunAdaptiveLogistic.java,90,Vector scores = learner.classifyFull(v);
examples/src/main/java/org/apache/mahout/classifier/sgd/RunAdaptiveLogistic.java,91,results.clear();
examples/src/main/java/org/apache/mahout/classifier/sgd/RunAdaptiveLogistic.java,92,if (maxScoreOnly) {
examples/src/main/java/org/apache/mahout/classifier/sgd/RunAdaptiveLogistic.java,93,results.put(csv.getTargetLabel(scores.maxValueIndex()),
examples/src/main/java/org/apache/mahout/classifier/sgd/RunAdaptiveLogistic.java,96,for (int i = 0; i < scores.size(); i++) {
examples/src/main/java/org/apache/mahout/classifier/sgd/RunAdaptiveLogistic.java,97,results.put(csv.getTargetLabel(i), scores.get(i));
examples/src/main/java/org/apache/mahout/classifier/sgd/RunAdaptiveLogistic.java,101,for (Map.Entry<String,Double> entry : results.entrySet()) {
examples/src/main/java/org/apache/mahout/classifier/sgd/RunAdaptiveLogistic.java,102,out.write(csv.getIdString(line) + ',' + entry.getKey() + ',' + entry.getValue());
examples/src/main/java/org/apache/mahout/classifier/sgd/RunAdaptiveLogistic.java,103,out.newLine();
examples/src/main/java/org/apache/mahout/classifier/sgd/RunAdaptiveLogistic.java,105,k++;
examples/src/main/java/org/apache/mahout/classifier/sgd/RunAdaptiveLogistic.java,106,if (k % 100 == 0) {
examples/src/main/java/org/apache/mahout/classifier/sgd/RunAdaptiveLogistic.java,109,line = in.readLine();
examples/src/main/java/org/apache/mahout/classifier/sgd/RunAdaptiveLogistic.java,111,out.flush();
examples/src/main/java/org/apache/mahout/classifier/sgd/RunAdaptiveLogistic.java,112,out.close();
math/src/main/java/org/apache/mahout/math/decomposer/lanczos/LanczosState.java,50,protected void intitializeBasisAndSingularVectors() {
math/src/main/java/org/apache/mahout/math/set/OpenHashSet.java,367,protected void setUp(int initialCapacity, double minLoadFactor, double maxLoadFactor) {
math/src/main/java/org/apache/mahout/math/solver/ConjugateGradientSolver.java,82,return solve(a, b, null, b.size(), DEFAULT_MAX_ERROR);
math/src/main/java/org/apache/mahout/math/solver/ConjugateGradientSolver.java,99,return solve(a, b, precond, b.size(), DEFAULT_MAX_ERROR);
math/src/main/java/org/apache/mahout/math/SparseRowMatrix.java,42,? new RandomAccessSparseVector[rows]
math/src/main/java/org/apache/mahout/math/SparseRowMatrix.java,43,: new SequentialAccessSparseVector[rows],
math/src/main/java/org/apache/mahout/math/SparseRowMatrix.java,44,true,
math/src/main/java/org/apache/mahout/math/SparseRowMatrix.java,45,randomAccess);
examples/src/main/java/org/apache/mahout/cf/taste/example/bookcrossing/BookCrossingBooleanRecommender.java,57,public List<RecommendedItem> recommend(long userID, int howMany, IDRescorer rescorer) throws TasteException {
examples/src/main/java/org/apache/mahout/cf/taste/example/bookcrossing/BookCrossingBooleanRecommender.java,58,return recommender.recommend(userID, howMany, rescorer);
examples/src/main/java/org/apache/mahout/cf/taste/example/bookcrossing/BookCrossingRecommender.java,57,return recommender.recommend(userID, howMany, rescorer);
examples/src/main/java/org/apache/mahout/cf/taste/example/kddcup/track1/Track1Recommender.java,50,return recommender.recommend(userID, howMany, rescorer);
examples/src/main/java/org/apache/mahout/cf/taste/example/kddcup/track2/Track2Recommender.java,56,return recommender.recommend(userID, howMany, rescorer);
core/src/main/java/org/apache/mahout/common/IOUtils.java,29,import org.apache.hadoop.mapred.lib.MultipleOutputs;
core/src/main/java/org/apache/mahout/common/IOUtils.java,145,throw (Error) lastThr;
core/src/main/java/org/apache/mahout/common/IOUtils.java,149,.initCause(lastThr);
core/src/main/java/org/apache/mahout/common/IOUtils.java,193,mo.close();
integration/src/main/java/org/apache/mahout/utils/SequenceFileDumper.java,30,import org.apache.hadoop.mapred.Utils.OutputFileUtils.OutputFilesFilter;
integration/src/main/java/org/apache/mahout/utils/SequenceFileDumper.java,70,pathArr = FileUtil.stat2Paths(fs.listStatus(input, new OutputFilesFilter()));
integration/src/main/java/org/apache/mahout/utils/SplitInputJob.java,29,import org.apache.hadoop.mapred.JobConf;
integration/src/main/java/org/apache/mahout/utils/SplitInputJob.java,30,import org.apache.hadoop.mapred.OutputCollector;
integration/src/main/java/org/apache/mahout/utils/SplitInputJob.java,31,import org.apache.hadoop.mapred.lib.MultipleOutputs;
integration/src/main/java/org/apache/mahout/utils/SplitInputJob.java,54,private static final String DOWNSAMPLING_FACTOR =
integration/src/main/java/org/apache/mahout/utils/SplitInputJob.java,56,private static final String RANDOM_SELECTION_PCT =
integration/src/main/java/org/apache/mahout/utils/SplitInputJob.java,61,private SplitInputJob() {
integration/src/main/java/org/apache/mahout/utils/SplitInputJob.java,107,JobConf oldApiJob = new JobConf(initialConf);
integration/src/main/java/org/apache/mahout/utils/SplitInputJob.java,108,MultipleOutputs.addNamedOutput(oldApiJob, TRAINING_TAG,
integration/src/main/java/org/apache/mahout/utils/SplitInputJob.java,109,org.apache.hadoop.mapred.SequenceFileOutputFormat.class,
integration/src/main/java/org/apache/mahout/utils/SplitInputJob.java,110,keyClass, valueClass);
integration/src/main/java/org/apache/mahout/utils/SplitInputJob.java,111,MultipleOutputs.addNamedOutput(oldApiJob, TEST_TAG,
integration/src/main/java/org/apache/mahout/utils/SplitInputJob.java,112,org.apache.hadoop.mapred.SequenceFileOutputFormat.class,
integration/src/main/java/org/apache/mahout/utils/SplitInputJob.java,113,keyClass, valueClass);
integration/src/main/java/org/apache/mahout/utils/SplitInputJob.java,116,Job job = new Job(oldApiJob);
integration/src/main/java/org/apache/mahout/utils/SplitInputJob.java,143,public void setup(Context context) {
integration/src/main/java/org/apache/mahout/utils/SplitInputJob.java,144,downsamplingFactor =
integration/src/main/java/org/apache/mahout/utils/SplitInputJob.java,145,context.getConfiguration().getInt(DOWNSAMPLING_FACTOR, 1);
integration/src/main/java/org/apache/mahout/utils/SplitInputJob.java,172,private OutputCollector<WritableComparable<?>, Writable> trainingCollector = null;
integration/src/main/java/org/apache/mahout/utils/SplitInputJob.java,173,private OutputCollector<WritableComparable<?>, Writable> testCollector = null;
integration/src/main/java/org/apache/mahout/utils/SplitInputJob.java,179,protected void setup(Context context) throws IOException {
integration/src/main/java/org/apache/mahout/utils/SplitInputJob.java,180,randomSelectionPercent =
integration/src/main/java/org/apache/mahout/utils/SplitInputJob.java,181,context.getConfiguration().getFloat(RANDOM_SELECTION_PCT, 0);
integration/src/main/java/org/apache/mahout/utils/SplitInputJob.java,182,multipleOutputs =
integration/src/main/java/org/apache/mahout/utils/SplitInputJob.java,183,new MultipleOutputs(new JobConf(context.getConfiguration()));
