File,Line_number,SRC
src/java/org/apache/nutch/crawl/CrawlDatum.java,26,import org.apache.commons.jexl2.JexlEngine;
src/java/org/apache/nutch/crawl/CrawlDatum.java,524,public boolean evaluate(Expression expr) {
src/java/org/apache/nutch/crawl/CrawlDatum.java,525,if (expr != null) {
src/java/org/apache/nutch/crawl/CrawlDatum.java,544,Text tkey = (Text)entry.getKey();
src/java/org/apache/nutch/crawl/CrawlDatum.java,550,Text tkey = (Text)entry.getKey();
src/java/org/apache/nutch/crawl/CrawlDatum.java,556,Text tkey = (Text)entry.getKey();
src/java/org/apache/nutch/crawl/CrawlDbReader.java,577,if (!value.evaluate(expr)) {
src/java/org/apache/nutch/crawl/Generator.java,218,if (!crawlDatum.evaluate(expr)) {
src/plugin/parse-tika/src/java/org/apache/nutch/parse/tika/TikaParser.java,173,LOG.trace("Getting links...");
src/plugin/parse-html/src/java/org/apache/nutch/parse/html/DOMContentUtils.java,203,public URL getBase(Node node) {
src/plugin/parse-html/src/java/org/apache/nutch/parse/html/DOMContentUtils.java,225,try {
src/plugin/parse-html/src/java/org/apache/nutch/parse/html/DOMContentUtils.java,226,return new URL(attr.getNodeValue());
src/plugin/parse-html/src/java/org/apache/nutch/parse/html/HtmlParser.java,205,URL baseTag = utils.getBase(root);
src/plugin/parse-html/src/java/org/apache/nutch/parse/html/HtmlParser.java,209,utils.getOutlinks(baseTag != null ? baseTag : base, l, root);
src/plugin/parse-tika/src/java/org/apache/nutch/parse/tika/DOMContentUtils.java,208,URL getBase(Node node) {
src/plugin/parse-tika/src/java/org/apache/nutch/parse/tika/DOMContentUtils.java,230,try {
src/plugin/parse-tika/src/java/org/apache/nutch/parse/tika/DOMContentUtils.java,231,return new URL(attr.getNodeValue());
src/plugin/parse-tika/src/java/org/apache/nutch/parse/tika/TikaParser.java,171,URL baseTag = utils.getBase(root);
src/plugin/parse-tika/src/java/org/apache/nutch/parse/tika/TikaParser.java,180,utils.getOutlinks(baseTag != null ? baseTag : base, l, tikaExtractedOutlinks);
src/java/org/apache/nutch/crawl/CrawlDbReader.java,209,public static class CrawlDbStatCombiner implements
src/java/org/apache/nutch/crawl/CrawlDbReader.java,211,LongWritable val = new LongWritable();
src/java/org/apache/nutch/crawl/CrawlDbReader.java,213,public CrawlDbStatCombiner() {
src/java/org/apache/nutch/crawl/CrawlDbReader.java,216,public void configure(JobConf job) {
src/java/org/apache/nutch/crawl/CrawlDbReader.java,219,public void close() {
src/java/org/apache/nutch/crawl/CrawlDbReader.java,224,throws IOException {
src/java/org/apache/nutch/crawl/CrawlDbReader.java,225,val.set(0L);
src/java/org/apache/nutch/crawl/CrawlDbReader.java,226,String k = key.toString();
src/java/org/apache/nutch/crawl/CrawlDbReader.java,228,while (values.hasNext()) {
src/java/org/apache/nutch/crawl/CrawlDbReader.java,230,val.set(val.get() + cnt.get());
src/java/org/apache/nutch/crawl/CrawlDbReader.java,265,if (k.equals("T")) {
src/java/org/apache/nutch/crawl/CrawlDbReader.java,274,LongWritable cnt = new LongWritable();
src/java/org/apache/nutch/crawl/CrawlDbReader.java,275,while (values.hasNext()) {
src/java/org/apache/nutch/crawl/CrawlDbReader.java,277,cnt.set(cnt.get() + val.get());
src/java/org/apache/nutch/crawl/CrawlDbReader.java,281,LongWritable cnt = new LongWritable(Long.MIN_VALUE);
src/java/org/apache/nutch/crawl/CrawlDbReader.java,282,while (values.hasNext()) {
src/java/org/apache/nutch/crawl/CrawlDbReader.java,285,cnt.set(val.get());
src/java/org/apache/nutch/crawl/CrawlDbReader.java,289,LongWritable cnt = new LongWritable(Long.MAX_VALUE);
src/java/org/apache/nutch/crawl/CrawlDbReader.java,293,cnt.set(val.get());
src/java/org/apache/nutch/crawl/CrawlDbReader.java,297,LongWritable cnt = new LongWritable();
src/java/org/apache/nutch/crawl/CrawlDbReader.java,300,cnt.set(cnt.get() + val.get());
src/java/org/apache/nutch/crawl/CrawlDbReader.java,367,job.setCombinerClass(CrawlDbStatCombiner.class);
src/java/org/apache/nutch/fetcher/FetcherThread.java,436,try {
src/java/org/apache/nutch/fetcher/FetcherThread.java,437,String origHost = new URL(urlString).getHost().toLowerCase();
src/java/org/apache/nutch/fetcher/FetcherThread.java,438,String newHost = new URL(newUrl).getHost().toLowerCase();
src/java/org/apache/nutch/fetcher/FetcherThread.java,439,if (ignoreExternalLinks) {
src/java/org/apache/nutch/fetcher/FetcherThread.java,440,if (!origHost.equals(newHost)) {
src/java/org/apache/nutch/fetcher/FetcherThread.java,441,if (LOG.isDebugEnabled()) {
src/java/org/apache/nutch/fetcher/FetcherThread.java,442,LOG.debug(" - ignoring redirect " + redirType + " from "
src/java/org/apache/nutch/fetcher/FetcherThread.java,443,+ urlString + " to " + newUrl
src/java/org/apache/nutch/fetcher/FetcherThread.java,444,+ " because external links are ignored");
src/java/org/apache/nutch/fetcher/FetcherThread.java,446,return null;
src/java/org/apache/nutch/fetcher/FetcherThread.java,450,if (ignoreInternalLinks) {
src/java/org/apache/nutch/fetcher/FetcherThread.java,451,if (origHost.equals(newHost)) {
src/java/org/apache/nutch/fetcher/FetcherThread.java,452,if (LOG.isDebugEnabled()) {
