File,Line_number,SRC
storm-core/src/jvm/org/apache/storm/localizer/Localizer.java,538,Utils.unpack(new File(downloadFile), new File(localFileWithVersion));
storm-core/src/jvm/org/apache/storm/utils/Utils.java,788,throws IOException {
storm-core/src/jvm/org/apache/storm/utils/Utils.java,789,JarFile jar = new JarFile(jarFile);
storm-core/src/jvm/org/apache/storm/utils/Utils.java,790,try {
storm-core/src/jvm/org/apache/storm/utils/Utils.java,791,Enumeration<JarEntry> entries = jar.entries();
storm-core/src/jvm/org/apache/storm/utils/Utils.java,792,while (entries.hasMoreElements()) {
storm-core/src/jvm/org/apache/storm/utils/Utils.java,793,final JarEntry entry = entries.nextElement();
storm-core/src/jvm/org/apache/storm/utils/Utils.java,794,if (!entry.isDirectory()) {
storm-core/src/jvm/org/apache/storm/utils/Utils.java,795,InputStream in = jar.getInputStream(entry);
storm-core/src/jvm/org/apache/storm/utils/Utils.java,796,try {
storm-core/src/jvm/org/apache/storm/utils/Utils.java,797,File file = new File(toDir, entry.getName());
storm-core/src/jvm/org/apache/storm/utils/Utils.java,798,ensureDirectory(file.getParentFile());
storm-core/src/jvm/org/apache/storm/utils/Utils.java,799,OutputStream out = new FileOutputStream(file);
storm-core/src/jvm/org/apache/storm/utils/Utils.java,800,try {
storm-core/src/jvm/org/apache/storm/utils/Utils.java,801,copyBytes(in, out, 8192);
storm-core/src/jvm/org/apache/storm/utils/Utils.java,803,out.close();
storm-core/src/jvm/org/apache/storm/utils/Utils.java,806,in.close();
storm-core/src/jvm/org/apache/storm/utils/Utils.java,811,jar.close();
storm-core/src/jvm/org/apache/storm/utils/Utils.java,823,throws IOException {
storm-core/src/jvm/org/apache/storm/utils/Utils.java,824,PrintStream ps = out instanceof PrintStream ? (PrintStream)out : null;
storm-core/src/jvm/org/apache/storm/utils/Utils.java,825,byte buf[] = new byte[buffSize];
storm-core/src/jvm/org/apache/storm/utils/Utils.java,826,int bytesRead = in.read(buf);
storm-core/src/jvm/org/apache/storm/utils/Utils.java,827,while (bytesRead >= 0) {
storm-core/src/jvm/org/apache/storm/utils/Utils.java,828,out.write(buf, 0, bytesRead);
storm-core/src/jvm/org/apache/storm/utils/Utils.java,829,if ((ps != null) && ps.checkError()) {
storm-core/src/jvm/org/apache/storm/utils/Utils.java,830,throw new IOException("Unable to write to output stream.");
storm-core/src/jvm/org/apache/storm/utils/Utils.java,832,bytesRead = in.read(buf);
storm-core/src/jvm/org/apache/storm/utils/Utils.java,858,public static void unTar(File inFile, File untarDir) throws IOException {
storm-core/src/jvm/org/apache/storm/utils/Utils.java,859,if (!untarDir.mkdirs()) {
storm-core/src/jvm/org/apache/storm/utils/Utils.java,860,if (!untarDir.isDirectory()) {
storm-core/src/jvm/org/apache/storm/utils/Utils.java,861,throw new IOException("Mkdirs failed to create " + untarDir);
storm-core/src/jvm/org/apache/storm/utils/Utils.java,869,unTarUsingJava(inFile, untarDir, gzipped);
storm-core/src/jvm/org/apache/storm/utils/Utils.java,906,boolean gzipped) throws IOException {
storm-core/src/jvm/org/apache/storm/utils/Utils.java,946,TarArchiveEntry entry, File outputDir) throws IOException {
storm-core/src/jvm/org/apache/storm/utils/Utils.java,948,File subDir = new File(outputDir, entry.getName());
storm-core/src/jvm/org/apache/storm/utils/Utils.java,949,if (!subDir.mkdirs() && !subDir.isDirectory()) {
storm-core/src/jvm/org/apache/storm/utils/Utils.java,950,throw new IOException("Mkdirs failed to create tar internal dir "
storm-core/src/jvm/org/apache/storm/utils/Utils.java,951,+ outputDir);
storm-core/src/jvm/org/apache/storm/utils/Utils.java,954,unpackEntries(tis, e, subDir);
storm-core/src/jvm/org/apache/storm/utils/Utils.java,956,return;
storm-core/src/jvm/org/apache/storm/utils/Utils.java,958,File outputFile = new File(outputDir, entry.getName());
storm-core/src/jvm/org/apache/storm/utils/Utils.java,959,if (!outputFile.getParentFile().exists()) {
storm-core/src/jvm/org/apache/storm/utils/Utils.java,960,if (!outputFile.getParentFile().mkdirs()) {
storm-core/src/jvm/org/apache/storm/utils/Utils.java,961,throw new IOException("Mkdirs failed to create tar internal dir "
storm-core/src/jvm/org/apache/storm/utils/Utils.java,965,int count;
storm-core/src/jvm/org/apache/storm/utils/Utils.java,966,byte data[] = new byte[2048];
storm-core/src/jvm/org/apache/storm/utils/Utils.java,967,BufferedOutputStream outputStream = new BufferedOutputStream(
storm-core/src/jvm/org/apache/storm/utils/Utils.java,968,new FileOutputStream(outputFile));
storm-core/src/jvm/org/apache/storm/utils/Utils.java,970,while ((count = tis.read(data)) != -1) {
storm-core/src/jvm/org/apache/storm/utils/Utils.java,971,outputStream.write(data, 0, count);
storm-core/src/jvm/org/apache/storm/utils/Utils.java,973,outputStream.flush();
