File,Line_number,SRC
tika-core/src/main/java/org/apache/tika/sax/ElementMappingContentHandler.java,19,import java.util.Map;
tika-core/src/main/java/org/apache/tika/sax/ElementMappingContentHandler.java,20,import java.util.Collections;
tika-core/src/main/java/org/apache/tika/sax/ElementMappingContentHandler.java,23,import org.xml.sax.SAXException;
tika-core/src/main/java/org/apache/tika/sax/ElementMappingContentHandler.java,24,import org.xml.sax.ContentHandler;
tika-core/src/main/java/org/apache/tika/io/TikaInputStream.java,117,&& !(stream instanceof ByteArrayInputStream)) {
tika-core/src/main/java/org/apache/tika/fork/ForkParser.java,178,client = new ForkClient(loader, parser, java);
tika-core/src/main/java/org/apache/tika/fork/ForkServer.java,61,ForkServer server = new ForkServer(System.in, System.out);
tika-core/src/main/java/org/apache/tika/fork/ForkServer.java,100,Thread.sleep(5000);
tika-core/src/main/java/org/apache/tika/sax/XHTMLContentHandler.java,56,unmodifiableSet("title", "link", "base", "meta");
tika-core/src/main/java/org/apache/tika/detect/NameDetector.java,103,int hash = name.indexOf('#');
tika-core/src/main/java/org/apache/tika/detect/NameDetector.java,104,if (hash != -1) {
tika-core/src/main/java/org/apache/tika/detect/NameDetector.java,105,name = name.substring(0, hash);
tika-core/src/main/java/org/apache/tika/sax/LinkContentHandler.java,118,if (XHTML.equals(uri)) {
tika-core/src/main/java/org/apache/tika/sax/LinkContentHandler.java,119,if ("a".equals(local) || "img".equals(local)) {
tika-core/src/main/java/org/apache/tika/sax/LinkContentHandler.java,120,links.add(builderStack.removeFirst().getLink(collapseWhitespaceInAnchor));
tika-app/src/main/java/org/apache/tika/gui/TikaGUI.java,325,metadataBuffer.append(name);
tika-app/src/main/java/org/apache/tika/gui/TikaGUI.java,326,metadataBuffer.append(": ");
tika-app/src/main/java/org/apache/tika/gui/TikaGUI.java,327,metadataBuffer.append(md.get(name));
tika-app/src/main/java/org/apache/tika/gui/TikaGUI.java,328,metadataBuffer.append("\n");
tika-parsers/src/main/java/org/apache/tika/parser/rtf/RTFParser.java,57,metadata.add(Metadata.CONTENT_TYPE, "application/rtf");
tika-core/src/main/java/org/apache/tika/config/TikaConfig.java,108,this(element, new ServiceLoader());
tika-core/src/main/java/org/apache/tika/config/TikaConfig.java,113,this(element, new ServiceLoader(loader));
tika-core/src/main/java/org/apache/tika/config/TikaConfig.java,85,this(getBuilder().parse(file));
tika-parsers/src/main/java/org/apache/tika/parser/pdf/PDFParser.java,253,metadata.add(property, value);
tika-parsers/src/main/java/org/apache/tika/parser/pdf/PDFParser.java,259,metadata.add(name, value);
tika-core/src/main/java/org/apache/tika/sax/xpath/NodeMatcher.java,33,public boolean matchesAttribute(String namespace, String name) {
tika-core/src/main/java/org/apache/tika/sax/xpath/NodeMatcher.java,34,return true;
tika-core/src/main/java/org/apache/tika/sax/xpath/XPathParser.java,42,private final Map<String, String> prefixes = new HashMap<String, String>();
tika-core/src/main/java/org/apache/tika/sax/xpath/XPathParser.java,44,public XPathParser() {
tika-core/src/main/java/org/apache/tika/sax/xpath/XPathParser.java,47,public XPathParser(String prefix, String namespace) {
tika-core/src/main/java/org/apache/tika/sax/xpath/XPathParser.java,48,addPrefix(prefix, namespace);
tika-core/src/main/java/org/apache/tika/sax/xpath/XPathParser.java,51,public void addPrefix(String prefix, String namespace) {
tika-core/src/main/java/org/apache/tika/sax/xpath/XPathParser.java,52,prefixes.put(prefix, namespace);
tika-core/src/main/java/org/apache/tika/sax/xpath/XPathParser.java,63,public Matcher parse(String xpath) {
tika-core/src/main/java/org/apache/tika/sax/xpath/XPathParser.java,64,if (xpath.equals("/text()")) {
tika-core/src/main/java/org/apache/tika/sax/xpath/XPathParser.java,65,return TextMatcher.INSTANCE;
tika-core/src/main/java/org/apache/tika/sax/xpath/XPathParser.java,67,return NodeMatcher.INSTANCE;
tika-core/src/main/java/org/apache/tika/sax/xpath/XPathParser.java,69,|| xpath.equals("/descendant:node()")) { // for compatibility
tika-core/src/main/java/org/apache/tika/sax/xpath/XPathParser.java,70,return new CompositeMatcher(
tika-core/src/main/java/org/apache/tika/sax/xpath/XPathParser.java,71,TextMatcher.INSTANCE,
tika-core/src/main/java/org/apache/tika/sax/xpath/XPathParser.java,72,new ChildMatcher(new SubtreeMatcher(NodeMatcher.INSTANCE)));
tika-core/src/main/java/org/apache/tika/sax/xpath/XPathParser.java,74,return AttributeMatcher.INSTANCE;
tika-core/src/main/java/org/apache/tika/sax/xpath/XPathParser.java,76,return ElementMatcher.INSTANCE;
tika-core/src/main/java/org/apache/tika/sax/xpath/XPathParser.java,78,String name = xpath.substring(2);
tika-core/src/main/java/org/apache/tika/sax/xpath/XPathParser.java,79,String prefix = null;
tika-core/src/main/java/org/apache/tika/sax/xpath/XPathParser.java,80,int colon = name.indexOf(':');
tika-core/src/main/java/org/apache/tika/sax/xpath/XPathParser.java,81,if (colon != -1) {
tika-core/src/main/java/org/apache/tika/sax/xpath/XPathParser.java,82,prefix = name.substring(0, colon);
tika-core/src/main/java/org/apache/tika/sax/xpath/XPathParser.java,83,name = name.substring(colon + 1);
tika-core/src/main/java/org/apache/tika/sax/xpath/XPathParser.java,85,if (prefixes.containsKey(prefix)) {
tika-core/src/main/java/org/apache/tika/sax/xpath/XPathParser.java,86,return new NamedAttributeMatcher(prefixes.get(prefix), name);
tika-core/src/main/java/org/apache/tika/sax/xpath/XPathParser.java,88,return Matcher.FAIL;
tika-core/src/main/java/org/apache/tika/sax/xpath/XPathParser.java,91,return new ChildMatcher(parse(xpath.substring(2)));
tika-core/src/main/java/org/apache/tika/sax/xpath/XPathParser.java,93,return Matcher.FAIL;
