File,Line_number,SRC
src/java/main/org/apache/zookeeper/server/NIOServerCnxnFactory.java,137,private void addCnxn(NIOServerCnxn cnxn) {
src/java/main/org/apache/zookeeper/server/NIOServerCnxnFactory.java,141,InetAddress addr = cnxn.sock.socket().getInetAddress();
src/java/main/org/apache/zookeeper/ClientCnxn.java,1132,private void pingRwServer() throws RWServerFoundException {
src/java/main/org/apache/zookeeper/client/StaticHostProvider.java,41,private final List<InetSocketAddress> serverAddresses = new ArrayList<InetSocketAddress>(
src/java/main/org/apache/zookeeper/client/StaticHostProvider.java,42,5);
src/java/main/org/apache/zookeeper/client/StaticHostProvider.java,59,for (InetSocketAddress address : serverAddresses) {
src/java/main/org/apache/zookeeper/client/StaticHostProvider.java,83,if (this.serverAddresses.isEmpty()) {
src/java/main/org/apache/zookeeper/client/StaticHostProvider.java,95,++currentIndex;
src/java/main/org/apache/zookeeper/client/StaticHostProvider.java,96,if (currentIndex == serverAddresses.size()) {
src/java/main/org/apache/zookeeper/client/StaticHostProvider.java,97,currentIndex = 0;
src/java/main/org/apache/zookeeper/client/StaticHostProvider.java,110,return serverAddresses.get(currentIndex);
src/java/main/org/apache/zookeeper/common/PathUtils.java,93,reason = "invalid charater @" + i;
src/java/main/org/apache/zookeeper/server/quorum/Leader.java,80,private boolean quorumFormed = false;
src/java/main/org/apache/zookeeper/server/quorum/Leader.java,401,waitForNewLeaderAck(self.getId(), zk.getZxid(), LearnerType.PARTICIPANT);
src/java/main/org/apache/zookeeper/server/quorum/Leader.java,853,private HashSet<Long> connectingFollowers = new HashSet<Long>();
src/java/main/org/apache/zookeeper/server/quorum/Leader.java,862,connectingFollowers.add(sid);
src/java/main/org/apache/zookeeper/server/quorum/Leader.java,885,private HashSet<Long> electingFollowers = new HashSet<Long>();
src/java/main/org/apache/zookeeper/server/quorum/Leader.java,886,private boolean electionFinished = false;
src/java/main/org/apache/zookeeper/server/quorum/Leader.java,900,electingFollowers.add(id);
src/java/main/org/apache/zookeeper/server/quorum/Leader.java,986,if (learnerType == LearnerType.PARTICIPANT) {
src/java/main/org/apache/zookeeper/server/quorum/LearnerHandler.java,523,leader.waitForNewLeaderAck(getSid(), qp.getZxid(), getLearnerType());
src/java/main/org/apache/zookeeper/server/quorum/flexible/QuorumHierarchical.java,26,import java.util.HashSet;
src/java/main/org/apache/zookeeper/server/quorum/flexible/QuorumHierarchical.java,234,public boolean containsQuorum(HashSet<Long> set){
src/java/main/org/apache/zookeeper/server/quorum/flexible/QuorumMaj.java,21,import java.util.HashSet;
src/java/main/org/apache/zookeeper/server/quorum/flexible/QuorumMaj.java,59,public boolean containsQuorum(HashSet<Long> set){
src/java/main/org/apache/zookeeper/server/quorum/flexible/QuorumVerifier.java,21,import java.util.HashSet;
src/java/main/org/apache/zookeeper/server/quorum/flexible/QuorumVerifier.java,32,boolean containsQuorum(HashSet<Long> set);
src/java/main/org/apache/zookeeper/server/quorum/FastLeaderElection.java,256,if(!self.getVotingView().containsKey(response.sid)){
src/java/main/org/apache/zookeeper/server/quorum/FastLeaderElection.java,851,else if(self.getVotingView().containsKey(n.sid)) {
src/java/main/org/apache/zookeeper/server/quorum/FastLeaderElection.java,983,LOG.warn("Ignoring notification from non-cluster member " + n.sid);
src/java/main/org/apache/zookeeper/server/ZKDatabase.java,212,PlayBackListener listener=new PlayBackListener(){
src/java/main/org/apache/zookeeper/server/ZKDatabase.java,213,public void onTxnLoaded(TxnHeader hdr,Record txn){
src/java/main/org/apache/zookeeper/server/ZKDatabase.java,214,Request r = new Request(null, 0, hdr.getCxid(),hdr.getType(),
src/java/main/org/apache/zookeeper/server/ZKDatabase.java,215,null, null);
src/java/main/org/apache/zookeeper/server/ZKDatabase.java,216,r.txn = txn;
src/java/main/org/apache/zookeeper/server/ZKDatabase.java,217,r.hdr = hdr;
src/java/main/org/apache/zookeeper/server/ZKDatabase.java,218,r.zxid = hdr.getZxid();
src/java/main/org/apache/zookeeper/server/ZKDatabase.java,219,addCommittedProposal(r);
src/java/main/org/apache/zookeeper/server/ZKDatabase.java,223,long zxid = snapLog.restore(dataTree,sessionsWithTimeouts,listener);
src/java/main/org/apache/zookeeper/server/ZooKeeperServer.java,455,zkDb.clear();
src/java/main/org/apache/zookeeper/ZooKeeper.java,213,addTo(existWatches.remove(clientPath), result);
src/java/main/org/apache/zookeeper/server/persistence/FileTxnLog.java,236,private void padFile(FileOutputStream out) throws IOException {
src/java/main/org/apache/zookeeper/server/persistence/FileTxnLog.java,237,currentSize = Util.padLogFile(out, currentSize, preAllocSize);
src/java/main/org/apache/zookeeper/server/persistence/Util.java,24,import java.io.FileOutputStream;
src/java/main/org/apache/zookeeper/server/persistence/Util.java,54,private static final ByteBuffer fill = ByteBuffer.allocateDirect(1);
src/java/main/org/apache/zookeeper/server/persistence/Util.java,213,public static long padLogFile(FileOutputStream f,long currentSize,
src/java/main/org/apache/zookeeper/server/persistence/Util.java,214,long preAllocSize) throws IOException{
src/java/main/org/apache/zookeeper/server/persistence/Util.java,215,long position = f.getChannel().position();
src/java/main/org/apache/zookeeper/server/persistence/Util.java,216,if (position + 4096 >= currentSize) {
src/java/main/org/apache/zookeeper/server/persistence/Util.java,217,currentSize = currentSize + preAllocSize;
src/java/main/org/apache/zookeeper/server/persistence/Util.java,218,fill.position(0);
src/java/main/org/apache/zookeeper/server/persistence/Util.java,219,f.getChannel().write(fill, currentSize-fill.remaining());
src/java/main/org/apache/zookeeper/server/persistence/Util.java,221,return currentSize;
src/java/main/org/apache/zookeeper/ClientCnxn.java,932,private void startConnect() throws IOException {
src/java/main/org/apache/zookeeper/ClientCnxn.java,935,InetSocketAddress addr;
src/java/main/org/apache/zookeeper/ClientCnxn.java,936,if (rwServerAddress != null) {
src/java/main/org/apache/zookeeper/ClientCnxn.java,937,addr = rwServerAddress;
src/java/main/org/apache/zookeeper/ClientCnxn.java,938,rwServerAddress = null;
src/java/main/org/apache/zookeeper/ClientCnxn.java,940,addr = hostProvider.next(1000);
src/java/main/org/apache/zookeeper/ClientCnxn.java,1003,startConnect();
src/java/main/org/apache/zookeeper/ClientCnxn.java,1102,LOG.warn(
src/java/main/org/apache/zookeeper/ClientCnxn.java,1105,+ " for server "
src/java/main/org/apache/zookeeper/ClientCnxn.java,1107,+ ", unexpected error"
src/java/main/org/apache/zookeeper/ClientCnxn.java,1108,+ RETRY_CONN_MSG, e);
src/recipes/lock/src/java/org/apache/zookeeper/recipes/lock/ZNodeName.java,78,int answer = this.prefix.compareTo(that.prefix);
src/recipes/lock/src/java/org/apache/zookeeper/recipes/lock/ZNodeName.java,80,int s1 = this.sequence;
src/recipes/lock/src/java/org/apache/zookeeper/recipes/lock/ZNodeName.java,81,int s2 = that.sequence;
src/recipes/lock/src/java/org/apache/zookeeper/recipes/lock/ZNodeName.java,82,if (s1 == -1 && s2 == -1) {
src/recipes/lock/src/java/org/apache/zookeeper/recipes/lock/ZNodeName.java,83,return this.name.compareTo(that.name);
src/recipes/lock/src/java/org/apache/zookeeper/recipes/lock/ZNodeName.java,85,answer = s1 == -1 ? 1 : s2 == -1 ? -1 : s1 - s2;
src/java/main/org/apache/zookeeper/ZooKeeperMain.java,43,import java.util.StringTokenizer;
src/java/main/org/apache/zookeeper/ZooKeeperMain.java,305,Class consoleC = Class.forName("jline.ConsoleReader");
src/java/main/org/apache/zookeeper/ZooKeeperMain.java,306,Class completorC =
src/java/main/org/apache/zookeeper/server/ZooKeeperServer.java,524,acl == null ? new ArrayList<ACL>() : new ArrayList(acl));
src/java/main/org/apache/zookeeper/server/auth/ProviderRegistry.java,53,.newInstance();
src/java/main/org/apache/zookeeper/server/util/KerberosUtil.java,39,getInstanceMethod = classRef.getMethod("getInstance", new Class[0]);
src/java/main/org/apache/zookeeper/server/util/KerberosUtil.java,40,kerbConf = getInstanceMethod.invoke(classRef, new Object[0]);
src/java/main/org/apache/zookeeper/server/util/KerberosUtil.java,41,getDefaultRealmMethod = classRef.getDeclaredMethod("getDefaultRealm",
src/java/main/org/apache/zookeeper/server/util/KerberosUtil.java,42,new Class[0]);
src/java/main/org/apache/zookeeper/server/util/OSMXBean.java,88,mBeanMethod = classRef.getDeclaredMethod(mBeanMethodName,
src/java/main/org/apache/zookeeper/server/util/OSMXBean.java,89,new Class[0]);
src/java/main/org/apache/zookeeper/server/NIOServerCnxn.java,346,LOG.warn("Exception causing close of session 0x"
